NOUN	REPUBBLICA	WIKICONLL	ITWAC
esercito	2	0	2
provveditore	1	0	10
maestro	1	3	6
maresciallo	2	1	4
paese	1	3	1
autorità	1	0	1
simbolo	1	0	0
regista	1	0	0
first	1	3	0
pentito	1	0	0
sede	3	2	3
presidenti	6	1	16
n.	2	0	1
fininvest	3	2	0
viceministro	3	0	2
germania	3	4	0
ente	1	1	14
produttore	1	7	3
ignoto	1	0	1
supervisore	1	2	2
gip	1	0	5
signora	1	2	2
amico	1	0	2
aeroporto	1	2	0
parroco	1	16	62
musica	1	0	0
uomo	1	0	1
unione	2	5	49
comma	1	0	0
sinistra	2	0	7
giunta	1	0	8
pds	3	0	5
socialista	1	0	1
istituto	1	6	24
procura	1	0	2
presidenza	1	0	6
forze	1	4	2
partiti	1	0	0
stato	1	0	4
colonia	0	2	8
bassista	0	3	3
cifra	0	4	1
neonato	0	2	5
regno	0	2	1
premier	0	7	79
c.t.	0	6	0
rete	0	1	1
centralità	0	1	0
frazione	0	10	3
seminario	0	1	1
estensione	0	1	0
santa	0	1	0
scuole	0	1	1
record	0	12	1
villaggio	0	4	1
esordiente	0	13	18
campo	0	1	4
moglie	0	9	0
isola	0	1	3
editore	0	2	7
priore	0	3	2
batterista	0	6	3
quartier	0	1	0
cardinal	0	2	21
venticinquenne	0	1	9
guida	0	1	0
ventitreenne	0	3	4
wwf	0	7	0
ventiduenne	0	2	2
signore	0	7	5
n	0	5	0
comune	0	2	0
strada	0	4	1
viceré	0	3	2
detentori	0	3	0
generale	0	4	0
maggiore	0	2	0
chitarrista	0	2	1
capolista	0	2	2
ventunenne	0	1	7
portatore	0	1	0
centro	0	3	21
serie	0	4	1
studenti	0	1	0
città	0	2	3
esponente	0	1	10
terreno	0	1	0
attaccante	0	1	0
piazza	0	3	1
abate	0	3	5
imprenditore	0	1	5
convento	0	1	2
vicini	0	1	0
regione	0	1	0
squadra	0	2	4
giovani	0	1	3
ccd	0	1	3
soprintendente	0	2	24
cacciatore	0	1	0
stazione	0	2	1
vuoto	0	1	0
campionessa	0	7	0
vicario	0	3	2
amante	0	2	0
star	0	1	0
diocesi	0	4	6
maglia	0	1	2
giocatore	0	2	0
erede	0	2	2
giornalista	0	1	1
sovrano	0	1	2
museo	0	1	5
modello	0	1	1
nome	0	4	1
mister	0	1	2
ragazzino	0	1	1
scuola	0	3	6
provincia	0	3	2
membri	0	1	5
pilota	0	2	0
repubblica	0	3	24
associazione	0	1	5
elettore	0	2	1
primato	0	6	2
scena	0	1	2
lista	0	1	4
federazione	0	1	11
dipendenza	0	1	0
religione	0	1	0
padre	0	1	3
borgo	0	3	1
ds	0	1	0
tormentone	0	1	0
ventiseienne	0	1	6
stile	0	1	0
donna	0	1	0
atto	0	1	1
ospedale	0	1	1
ingegnere	0	1	2
card	0	1	0
repubblicani	0	1	0
figlio	0	1	0
dipartimento	0	3	17
manifestazione	0	1	0
radio	0	1	1
viale	0	1	2
residenza	0	1	1
varese	0	11	0
norme	0	1	0
film	0	1	0
corrente	0	1	0
feudo	0	1	0
sindacalista	0	1	0
corpo	0	1	8
vice-presidente	0	2	9
logo	0	1	0
struttura	0	1	0
marine	0	1	0
corso	0	1	5
aiuto	0	1	1
confine	0	2	3
difesa	0	1	0
ispettore	0	1	4
trasferimenti	0	1	0
forza	0	1	0
regina	0	3	2
san	0	1	1
coppa	0	1	5
inesistenza	0	1	0
club	0	1	5
cattedra	0	1	0
quartiere	0	1	2
padrona	0	1	1
mondo	0	1	7
via	0	1	0
capoluogo	0	1	0
premio	0	0	1
bibliotecario	0	0	6
sessantaduenne	0	0	1
uffici	0	0	6
ventenne	0	0	8
trentenne	0	0	6
comunità	0	0	30
monopolista	0	0	2
diciottenne	0	0	9
linea	0	0	1
usl	0	0	7
chiesa	0	0	1
patron	0	0	4
provveditorato	0	0	16
articolo	0	0	2
movimento	0	0	7
democrazia	0	0	11
programma	0	0	1
proprietà	0	0	2
reti	0	0	3
quattordicenne	0	0	5
core	0	0	1
sedicenne	0	0	6
situazione	0	0	7
scoperta	0	0	7
signorina	0	0	5
assessorato	0	0	4
legione	0	0	3
teatro	0	0	5
potenza	0	0	2
polo	0	0	5
giocatori	0	0	1
adolescente	0	0	2
mons	0	0	5
professor	0	0	6
rifondazione	0	0	2
quindicenne	0	0	2
missione	0	0	2
gestore	0	0	3
artista	0	0	1
bozza	0	0	1
coordinamento	0	0	3
dc	0	0	9
consiglieri	0	0	5
cassa	0	0	8
disegno	0	0	7
esposizione	0	0	2
organismo	0	0	1
progetto	0	0	6
pag.	0	0	1
caffè	0	0	1
lago	0	0	1
piccolina	0	0	1
reato	0	0	1
concessione	0	0	1
periferia	0	0	1
facoltà	0	0	4
società	0	0	4
bambina	0	0	2
minoranza	0	0	15
promessa	0	0	1
classe	0	0	5
intendenza	0	0	5
agenzia	0	0	2
colleghi	0	0	3
guerra	0	0	2
casa	0	0	4
neonata	0	0	7
semi	0	0	5
richieste	0	0	2
diciassettenne	0	0	5
uomini	0	0	1
crisi	0	0	1
potere	0	0	3
computer	0	0	1
famiglia	0	0	1
novità	0	0	1
assenza	0	0	1
responsabili	0	0	4
art.	0	0	3
don	0	0	3
cappella	0	0	1
regia	0	0	3
quotidiano	0	0	1
proprietari	0	0	6
coppia	0	0	1
pretura	0	0	6
dottor	0	0	2
sessantenne	0	0	1
canonico	0	0	1
campagna	0	0	1
blocchi	0	0	1
sezione	0	0	7
fondazione	0	0	4
centrosinistra	0	0	4
ottuagenario	0	0	1
legislazione	0	0	1
assemblea	0	0	2
accademia	0	0	1
isolato	0	0	1
conferenza	0	0	5
allievi	0	0	1
governi	0	0	3
condizioni	0	0	1
dominio	0	0	1
legge	0	0	3
collegio	0	0	3
abitazione	0	0	1
stadio	0	0	2
vertice	0	0	1
dittatura	0	0	1
medico	0	0	2
minorenni	0	0	1
tv	0	0	1
laboratorio	0	0	2
esperti	0	0	1
nemico	0	0	1
richiesta	0	0	1
settore	0	0	2
buono	0	0	2
proposta	0	0	2
vicecapo	0	0	5
blocco	0	0	2
opera	0	0	1
oro	0	0	1
sindaci	0	0	4
fiume	0	0	1
perfetta	0	0	1
segretari	0	0	1
popolo	0	0	1
categoria	0	0	1
dipendenti	0	0	1
abitanti	0	0	1
provveditorati	0	0	5
schieramento	0	0	2
isolamento	0	0	1
circoscrizione	0	0	1
settantenne	0	0	1
forum	0	0	1
camera	0	0	2
organi	0	0	1
genio	0	0	1
arco	0	0	1
giovane	0	0	5
comando	0	0	1
quota	0	0	1
coetaneo	0	0	1
aziende	0	0	1
signor	0	0	1
unità	0	0	1
sindacato	0	0	2
porto	0	0	1
civiltà	0	0	1
parrocchia	0	0	3
monastero	0	0	1
ruolo	0	0	1
disprezzo	0	0	1
assegnatari	0	0	1
mitica	0	0	1
mercato	0	0	3
trend	0	0	1
formazione	0	0	3
poeta	0	0	1
codice	0	0	1
divisione	0	0	2
dj	0	0	1
bar	0	0	1
condizione	0	0	1
studio	0	0	1
mente	0	0	1
euro	0	0	1
previsto	0	0	1
collega	0	0	1
letteratura	0	0	1
natura	0	0	1
schema	0	0	1
collaboratore	0	0	1
chiusura	0	0	1
case	0	0	2
teoria	0	0	1
carta	0	0	1
titolo	0	0	1
dodicenne	0	0	2
commissariato	0	0	1
onnipotente	0	0	1
bambini	0	0	1
servizi	0	0	1
conservatore	0	0	1
sfigato	0	0	1
corte	0	0	1
articoli	0	0	1
fiato	0	0	1
tricolore	0	0	1
ala	0	0	1
fronte	0	0	1
