NOUN	WIKICONLL	REPUBBLICA	ITWAC
pasquale	0	2	0
lirico	0	1	0
frana	0	1	0
opera	0	1	2
ristrutturazione	0	1	1
nazista	0	1	0
nazionale	0	1	1
carcere	0	1	3
sanatoria	0	1	1
operaia	0	1	1
coetanei	0	1	0
costituente	0	1	0
universitario	1	1	0
rivoluzionario	2	4	0
apocalisse	0	1	11
freni	0	1	0
contestazione	0	1	5
khomeinista	0	3	0
democrazia	0	2	16
hegelismo	0	1	0
abc	0	2	0
guerriglia	0	1	0
penitenziario	0	1	0
chiusura	0	1	61
pci	0	3	0
occupazione	1	7	6
strutturalisti	5	1	1
marx	0	1	0
invasione	1	1	4
taylorismo	0	1	1
romantico	1	1	2
paternità	0	1	0
shevardnadze	0	1	0
office	0	4	0
natalizi	0	4	0
filosofia	3	1	2
filosofo	0	1	0
occupazioni	0	1	0
riunificazione	2	2	4
separazione	1	2	5
discoteca	0	6	3
cage	0	2	0
infortunio	0	2	8
giugno	0	1	0
ottomano	0	1	0
eduardo	0	1	0
consultazione	0	1	0
new	1	2	0
marcinkus	0	1	0
eruzione	0	1	0
world	0	1	0
cernobbio	0	1	0
karajan	0	1	0
resistenza	0	1	1
anni	3	1	4
cosa	0	1	0
apartheid	10	9	3
universitari	4	5	445
universitaria	0	2	0
televisione	0	1	3
liedholm	0	1	0
trans	0	1	0
fusione	0	14	22
secondario	0	3	27
insediamento	0	1	4
alluvioni	0	1	1
scrutinio	0	1	2
post	0	2	12
recessione	0	4	1
ballo	0	1	1
marxisti	0	1	0
urss	1	1	0
maturità	1	3	12
riassetto	0	1	0
gardini	0	3	0
federico	0	2	0
solidarnosc	0	2	0
liquidazione	0	2	1
datazione	1	1	2
cristianesimo	0	1	9
scià	0	1	0
concessioni	0	1	0
jugoslavia	0	3	0
cristiani	0	1	4
dada	0	1	0
sessantottino	0	2	11
olimpiadi	0	2	2
razzismo	0	1	0
sessantottini	0	2	12
lorenz	0	1	0
salisburgo	0	1	0
tangentopoli	0	35	15
corruzione	0	1	0
surrealisti	0	1	0
baresi	0	2	0
partitocrazia	0	2	1
patto	0	1	0
human	0	3	34
imperiale	0	4	0
sovietica	4	6	0
aperitivi	0	1	0
assunzione	0	1	4
svalutazione	0	4	0
moralizzazione	0	1	0
sisma	5	4	61
ceausescu	0	4	0
unificazione	0	1	4
incorporazione	0	1	0
brigatista	0	1	13
spettacolo	0	1	8
glasnost	0	1	2
tangenti	0	1	0
franchisti	0	1	1
classico	5	1	1
targhe	0	1	0
cristiana	0	2	0
lottizzazione	0	4	1
mani	0	3	1
sociologo	0	1	0
edonismo	0	1	0
dc	0	11	23
liberismo	0	1	1
jazz	0	1	3
secondari	0	5	10
classicismo	0	2	1
scissione	0	5	3
woody	0	1	0
beethoven	0	1	0
cinema	0	2	2
curzi	0	2	0
auschwitz	0	2	0
armistizio	0	2	2
dittatura	0	2	6
graduate	1	4	0
tv	0	1	1
attrazione	0	1	0
commedia	0	2	2
scudetto	2	2	4
benessere	0	1	3
terrestre	0	1	0
yuppies	0	3	3
psi	0	4	0
politica	0	3	9
menopausa	5	14	244
razza	0	2	0
aumento	0	9	4
craxi	0	1	0
elettorali	0	4	0
privatizzazione	0	11	3
tatò	1	1	0
parma	0	1	0
japan	0	1	0
repubblicani	0	1	0
darwinismo	0	1	2
iri	0	3	0
craxiano	0	1	1
muro	0	2	6
klan	0	1	0
edizione	0	1	0
hippy	0	3	1
gascoigne	0	1	0
berlusconi	0	1	0
martinazzoli	0	1	0
ricapitalizzazione	0	1	0
gravidanza	0	1	6
grunge	4	1	24
hippie	0	2	2
intervista	0	1	0
gol	0	1	1
decreto	0	2	1
futurismo	0	1	2
maradona	0	1	0
trade	0	1	0
pds	0	1	0
hiroshima	0	1	0
deregulation	0	1	1
venezia	0	1	0
missino	0	2	1
bulgaria	0	1	0
francia	0	1	0
croazia	0	1	0
ciarrapico	0	1	0
alluvione	0	4	43
missini	0	11	2
scritto	0	1	0
radicale	0	1	0
cold	1	2	0
dini	0	7	0
dimissioni	0	1	2
mogol	0	1	0
unitario	2	1	0
juventus	0	1	0
deng	0	3	0
combattimento	0	1	1
atlanta	0	1	0
adolescenti	0	3	6
colonialismo	3	2	50
rottura	0	1	4
dottorati	0	1	25
riformista	0	1	0
peronismo	0	2	0
guarino	0	1	0
acuti	0	1	13
gollista	0	3	0
colloquio	0	1	4
inattività	0	1	0
trauma	1	1	41
ppi	0	1	0
medioevale	0	1	0
infarto	7	6	51
democristiana	0	3	0
fascio	0	1	0
abbronzatura	0	1	0
produzioni	2	1	8
uno	0	1	0
padova	0	1	0
collocamento	0	1	1
liberali	0	1	0
bipolarismo	0	1	2
scolastiche	0	1	0
craxismo	0	1	1
espressionista	0	1	0
msi	0	1	0
dottorato	20	6	1179
fecondazione	0	1	0
bauhaus	0	1	1
mitterrand	0	1	0
illegalità	0	1	0
saddam	0	10	0
capitalista	0	1	0
slalom	0	1	0
flusso	0	1	0
socialiste	1	1	0
distensione	0	1	0
sanzioni	0	3	1
sovietici	1	1	0
andreotti	0	1	0
abete	0	1	0
fenice	0	1	0
elezione	0	1	4
ricchi	0	1	0
settantenni	0	1	0
cinquantenni	0	1	0
warhol	1	1	0
sionista	0	1	0
falcone	0	1	0
separatismo	0	1	1
simbolista	0	1	0
neorealismo	0	1	3
abbagnale	0	1	0
elisabetta	0	1	0
colonialista	0	1	0
olimpici	0	2	0
night	0	1	0
manovra	0	1	0
organici	0	1	0
vertice	0	2	2
lynch	0	1	0
proibizionismo	1	1	0
ripresa	0	1	0
strehler	0	3	0
sbronza	0	1	9
sacchi	0	1	0
craxiani	0	1	3
lotta	0	1	0
incentivi	0	3	0
sionisti	2	1	0
marketing	6	1	44
fordismo	3	4	130
mobutu	0	1	0
pay	0	3	0
infanzia	0	1	1
europei	0	1	0
bosman	0	1	0
salone	0	1	0
pranzo	1	2	12
corsi	0	1	0
elvis	0	1	0
sovietico	1	1	0
omicidio	0	1	1
gsm	0	1	0
diana	0	2	0
attentati	0	1	14
conciliazione	0	1	0
scarsità	1	1	2
montesano	0	1	0
formula	1	1	0
pensiero	0	2	6
sequestro	0	2	0
ungheria	0	1	0
risanamento	0	2	0
promozioni	0	1	0
evento	5	1	23
euro	0	4	55
tarantino	0	1	0
pidiessini	0	1	1
accordo	0	1	2
europa	0	1	0
zingara	0	1	0
repubblichini	0	1	0
sovietiche	0	2	0
pinochet	0	1	0
prada	0	1	0
bicamerale	0	1	0
card	0	1	0
maastricht	0	1	0
fazio	0	1	0
nazionalista	0	1	0
zeman	0	1	0
pescante	0	1	0
rottamazione	0	2	0
shoah	0	1	0
trash	0	1	0
zaino	0	1	0
mtv	0	1	0
compagno	0	1	0
pelliccia	0	1	0
azionismo	0	2	1
terzomondista	0	1	0
ulivo	0	3	0
anelka	0	1	0
ideologie	0	1	0
specializzazione	1	1	6
presidenziale	0	1	0
illusioni	0	1	0
metafisica	0	1	0
pagamento	0	5	36
ingerenza	0	1	0
sentenza	0	1	5
statali	0	1	0
sarno	0	1	0
garage	0	1	1
acquisizione	1	1	8
razionalismo	0	1	0
laici	0	2	0
baco	0	1	0
partito	0	1	6
magazine	1	1	0
razzista	0	1	0
adozione	3	1	74
festa	0	1	3
seattle	1	1	0
svezia	0	1	0
hardcore	87	0	10
conflitto	9	0	120
genocidio	1	0	6
transizione	5	0	5
sequenza	5	0	7
esposizione	22	0	85
nirvana	2	0	0
abba	3	0	0
bop	3	0	3
season	63	0	65
crisis	29	0	3
police	1	0	0
thrash	4	0	0
ibernazione	1	0	2
production	4	0	18
rem	2	0	0
incremento	1	0	7
cure	1	0	0
esecuzione	1	0	1
glaciazione	2	0	1
gabriel	1	0	0
ordine	2	0	0
orale	1	0	0
ora	20	0	0
black	6	0	0
luminescenza	2	0	5
trattamenti	2	0	5
zeppelin	3	0	0
tour	1	0	7
processo	1	0	8
gemelli	1	0	0
gazette	3	0	1
conquista	1	0	0
detection	1	0	0
picco	1	0	0
millennio	1	0	3
posizione	1	0	0
sionismo	6	0	3
nascita	1	0	3
trianon	1	0	0
agrario	1	0	0
battaglia	1	0	3
imperiali	1	0	0
processing	9	0	48
borghese	1	0	0
rc	1	0	0
death	2	0	0
psichedelia	1	0	0
priest	1	0	0
colonialisti	1	0	0
quotazione	3	0	1
scioglimento	3	0	1
successo	1	0	2
chirurgia	1	0	1
contratto	5	0	2
colonial	3	0	3
trasfusione	1	0	0
iniezione	1	0	6
techno	1	0	0
metal	25	0	0
rocky	1	0	0
rambo	1	0	0
army	1	0	0
trattamento	10	0	56
disco	1	0	4
atlantico	1	0	0
minor	1	0	0
lavorazione	2	0	0
britpop	4	0	1
ictus	3	0	5
unitari	1	0	0
affiliazione	1	0	0
war	6	0	0
manipolazione	1	0	0
basso	2	0	0
impatto	1	0	2
vulgata	8	0	0
europeo	1	0	0
commercializzazione	1	0	6
esilio	2	0	4
franco	1	0	0
classiche	1	0	1
talking	1	0	0
fallimento	1	0	3
grado	2	0	3
italiani	1	0	5
restyling	6	0	0
perugia	1	0	0
nouvelle	1	0	0
core	2	0	38
volo	1	0	13
cresima	1	0	0
menopausale	1	0	5
ship	1	0	0
antenna	1	0	0
vaticano	2	0	0
draft	1	0	0
industrial	8	0	1
lancio	3	0	2
collisione	1	0	0
qualifica	2	0	508
vaccinazione	1	0	4
era	1	0	0
storico	1	0	6
dominazione	1	0	0
rai	1	0	0
tatuaggio	1	0	0
ricostruzione	4	0	8
edwards	1	0	0
exposure	1	0	0
kyuss	1	0	0
weimar	1	0	0
tensione	1	0	7
sean	1	0	0
restaurazione	1	0	1
consumismo	1	0	0
dimissione	1	0	17
riscaldamento	3	0	7
umani	1	0	0
golpista	1	0	1
termine	2	0	2
razionalisti	1	0	1
qualificazione	1	0	0
regime	1	0	2
verbali	1	0	1
musica	1	0	0
seconda	2	0	0
tribolazione	2	0	2
swiss	1	0	0
impianto	2	0	4
raphael	1	0	0
installazione	1	0	34
civil	1	0	2
formazione	1	0	9
stagione	1	0	5
ii	1	0	0
recording	1	0	0
pubblicazione	1	0	3
warner	1	0	0
talebani	1	0	0
rigetto	1	0	0
attacco	1	0	2
agb	1	0	0
gonzaga	1	0	0
procedura	1	0	3
critici	1	0	0
classica	1	0	0
standard	1	0	0
resurrezione	1	0	1
carriera	3	0	3
left	1	0	0
pubertà	1	0	0
goodman	1	0	0
incontro	1	0	5
salvatore	1	0	0
arsenal	1	0	0
ottobre	1	0	0
razionalista	2	0	11
desktop	1	0	0
violenza	1	0	0
laureati	1	0	1
idealista	1	0	0
lavoro	1	0	10
vintage	1	0	0
race	1	0	0
riformisti	1	0	0
amerika	1	0	0
trial	1	0	0
norimberga	1	0	0
nba	1	0	0
ricovero	1	0	80
consumo	1	0	118
dead	1	0	0
test	1	0	66
autorizzazione	1	0	14
trading	1	0	11
ammissione	1	0	0
attività	1	0	1
filtro	1	0	0
amt	1	0	0
poliomielite	3	0	0
graffiti	2	0	2
terremoti	1	0	4
svezzamento	1	0	0
amici	1	0	0
foro	1	0	0
moncone	1	0	0
studio	1	0	1
ritiro	1	0	4
presidenza	1	0	0
wien	1	0	0
bizantina	1	0	0
verniciatura	1	0	1
league	1	0	0
surrealismo	1	0	1
bombardamento	1	0	2
vamp	1	0	0
iniezioni	1	0	1
classici	1	0	2
concorso	1	0	2
esercizio	1	0	11
legione	1	0	0
radiation	1	0	0
processamento	1	0	15
capitano	2	0	0
consumer	1	0	0
rinnovamento	1	0	0
estinzione	1	0	0
trasformazione	1	0	5
star	0	0	1
dance	0	0	2
giornalismo	0	0	3
episodio	0	0	1
buste	0	0	1
apertura	0	0	9
ulivismo	0	0	1
ulivista	0	0	3
mercato	0	0	12
acuzie	0	0	115
frantumazione	0	0	7
fioritura	0	0	2
fondista	0	0	1
bolla	0	0	2
caduta	0	0	4
genoma	0	0	41
sovranità	0	0	6
assistenza	0	0	1
pannolino	0	0	8
base	0	0	154
storicismo	0	0	2
servizio	0	0	9
jungle	0	0	2
umanità	0	0	17
riunione	0	0	3
paolini	0	0	1
positivismo	0	0	4
tormentone	0	0	2
incendi	0	0	1
adolescenza	0	0	11
espulsione	0	0	1
segretario	0	0	1
print	0	0	7
evaluation	0	0	1
appelli	0	0	4
contagio	0	0	5
patata	0	0	2
detenzione	0	0	5
castrismo	0	0	4
transazione	0	0	1
nozze	0	0	2
globalizzazione	0	0	1
coito	0	0	4
dieta	0	0	1
devolution	0	0	2
maratona	0	0	1
lola	0	0	1
situazione	0	0	1
allargamento	0	0	12
dottore	0	0	1
malattie	0	0	1
kyoto	0	0	1
experience	0	0	3
scavo	0	0	1
corso	0	0	18
mensa	0	0	5
scansione	0	0	2
welfare	0	0	3
diplomati	0	0	2
stalinisti	0	0	1
cena	0	0	8
concentrazione	0	0	1
contatore	0	0	70
novi	0	0	1
processori	0	0	4
visione	0	0	10
tsunami	0	0	29
secolarizzazione	0	0	1
induzione	0	0	3
pesca	0	0	1
migrazione	0	0	2
degenza	0	0	5
gd	0	0	1
udienza	0	0	3
ricevimento	0	0	1
informazione	0	0	18
vaccino	0	0	1
industrializzazione	0	0	8
longobardo	0	0	1
donazione	0	0	11
rogo	0	0	2
incidente	0	0	18
incendio	0	0	3
abbandono	0	0	2
swing	0	0	4
script	0	0	4
decadente	0	0	1
concepimento	0	0	1
allenamento	0	0	2
trasloco	0	0	5
critica	0	0	3
incidenti	0	0	16
analisi	0	0	2
ventenni	0	0	1
concertazione	0	0	5
pallone	0	0	2
progetto	0	0	4
decollo	0	0	3
preparazione	0	0	4
frattura	0	0	4
asta	0	0	1
brigatismo	0	0	115
terapia	0	0	11
inondazione	0	0	1
evoluzione	0	0	1
eliminazione	0	0	3
solidarietà	0	0	1
critico	0	0	2
carico	0	0	4
imposta	0	0	1
scolarizzazione	0	0	1
install	0	0	11
entry	0	0	2
giudizio	0	0	3
fiume	0	0	2
missione	0	0	1
settembre	0	0	7
audience	0	0	1
apollo	0	0	3
gestione	0	0	5
moderazione	0	0	5
meeting	0	0	6
marcia	0	0	1
rientro	0	0	1
discussione	0	0	3
produttrice	0	0	4
tesi	0	0	13
consegna	0	0	2
attentato	0	0	13
economia	0	0	11
interventi	0	0	2
quarantenni	0	0	2
massacro	0	0	2
ulivisti	0	0	1
improvvisazione	0	0	3
neve	0	0	1
cartagine	0	0	2
market	0	0	3
condanna	0	0	3
titoli	0	0	1
estate	0	0	5
berlusconiani	0	0	2
ospedaliero	0	0	1
ambient	0	0	1
sabato	0	0	1
misurazione	0	0	1
scorie	0	0	1
cattolici	0	0	1
adesione	0	0	1
petizione	0	0	2
maternità	0	0	14
colazione	0	0	2
barker	0	0	1
consumatore	0	0	1
liberal	0	0	3
naviganti	0	0	4
lite	0	0	1
pasticcio	0	0	2
telegiornale	0	0	3
dipendenza	0	0	2
montaggio	0	0	1
cloni	0	0	1
rendering	0	0	3
turing	0	0	1
sterminio	0	0	1
telefoni	0	0	1
esplosione	0	0	4
olocausto	0	0	34
tito	0	0	1
situazionismo	0	0	5
traffico	0	0	1
statalista	0	0	1
illuministi	0	0	1
feste	0	0	13
ninfa	0	0	1
pet	0	0	1
modernizzazione	0	0	4
lettura	0	0	4
realizzazione	0	0	9
islamismo	0	0	1
concerti	0	0	2
carosello	0	0	2
nuke	0	0	7
sanremese	0	0	2
antipasto	0	0	2
abbuffata	0	0	1
menu	0	0	1
figurazione	0	0	7
ruolo	0	0	2
prelievo	0	0	3
conferenza	0	0	10
berlusconismo	0	0	4
lettera	0	0	1
inferno	0	0	2
prospettiva	0	0	1
illusione	0	0	1
stage	0	0	2
surf	0	0	1
contemporaneità	0	0	4
dottori	0	0	4
tg	0	0	6
conversione	0	0	8
legge	0	0	10
miracolo	0	0	2
fondamentalisti	0	0	1
scolastica	0	0	3
epidemia	0	0	1
acquisto	0	0	7
sbornia	0	0	11
chemioterapia	0	0	3
berlusconiano	0	0	13
società	0	0	1
duello	0	0	2
omologazione	0	0	1
emigrazione	0	0	1
cristianità	0	0	1
impianti	0	0	1
avanguardista	0	0	7
ecstasy	0	0	1
serata	0	0	5
commenti	0	0	1
campagna	0	0	2
democristiano	0	0	1
cattura	0	0	4
guarigione	0	0	1
studenti	0	0	1
csi	0	0	2
appello	0	0	5
antichi	0	0	1
italiano	0	0	1
funerale	0	0	1
malesia	0	0	1
assemblaggio	0	0	1
costruzione	0	0	2
rocker	0	0	8
dopoguerra	0	0	2
positivista	0	0	1
nazi	0	0	1
campionati	0	0	9
adolescente	0	0	3
completion	0	0	3
processore	0	0	13
processi	0	0	1
kantismo	0	0	2
dizioni	0	0	1
convegno	0	0	2
regolarizzazione	0	0	8
campo	0	0	3
eventi	0	0	1
imprenditori	0	0	2
box	0	0	1
maremoto	0	0	6
dalemiano	0	0	1
città	0	0	3
discografia	0	0	1
ricorso	0	0	2
parrucchiere	0	0	1
capodanno	0	0	3
orientamento	0	0	4
ufficio	0	0	3
visita	0	0	6
togliattismo	0	0	1
alfabetizzazione	0	0	2
pionieri	0	0	1
blog	0	0	5
allineamento	0	0	1
licenza	0	0	3
garanzia	0	0	5
romance	0	0	1
blues	0	0	5
forum	0	0	2
neoliberismo	0	0	3
latino	0	0	1
esperienza	0	0	7
soviet	0	0	2
shock	0	0	3
risultato	0	0	1
pantani	0	0	3
numero	0	0	1
escursione	0	0	1
impiego	0	0	1
thanksgiving	0	0	5
scambio	0	0	1
western	0	0	2
orgasmo	0	0	1
play	0	0	3
larva	0	0	1
blade	0	0	3
splatter	0	0	1
pulp	0	0	2
surgery	0	0	1
pancreas	0	0	1
morbillo	0	0	1
rave	0	0	3
fumo	0	0	1
fissazione	0	0	2
nomination	0	0	2
registrazione	0	0	3
carolingia	0	0	4
conflitti	0	0	4
temporale	0	0	2
rockettari	0	0	1
afa	0	0	2
tutoraggio	0	0	2
materiale	0	0	1
decisione	0	0	1
trionfo	0	0	1
eternità	0	0	1
caffè	0	0	2
leva	0	0	1
fratture	0	0	2
decesso	0	0	1
stampa	0	0	5
legalizzazione	0	0	1
escort	0	0	1
pizza	0	0	1
mito	0	0	1
stress	0	0	2
sviluppo	0	0	9
biennio	0	0	1
dub	0	0	1
fattore	0	0	1
sonorizzazione	0	0	5
culture	0	0	2
avvio	0	0	1
commento	0	0	2
sciopero	0	0	2
futuro	0	0	4
festività	0	0	5
tudor	0	0	1
cancun	0	0	2
olimpico	0	0	1
film	0	0	4
valorizzazione	0	0	1
distruzione	0	0	8
goal	0	0	2
mail	0	0	1
infezione	0	0	1
radicali	0	0	2
comunità	0	0	2
medievali	0	0	1
festival	0	0	8
disimpegno	0	0	1
editoriale	0	0	1
processor	0	0	3
viaggio	0	0	6
cambio	0	0	1
natali	0	0	6
build	0	0	3
prova	0	0	1
master	0	0	2
euforia	0	0	1
quote	0	0	1
innamoramento	0	0	2
check	0	0	4
party	0	0	2
petrolio	0	0	3
genere	0	0	3
interazione	0	0	1
embrione	0	0	6
asilo	0	0	2
medioevo	0	0	3
coma	0	0	6
benzina	0	0	7
implementazione	0	0	1
verde	0	0	2
programmazione	0	0	1
cantiere	0	0	2
annuncio	0	0	1
antifascismo	0	0	4
naturalismo	0	0	2
decremento	0	0	5
rissa	0	0	1
consenso	0	0	1
legislatura	0	0	2
giudizi	0	0	2
autonomi	0	0	1
massificazione	0	0	2
fasciste	0	0	2
intermedio	0	0	2
bonifica	0	0	3
tecnico	0	0	1
trasmissione	0	0	1
vacanza	0	0	3
prodotto	0	0	2
ovulazione	0	0	1
partiti	0	0	2
trentenni	0	0	1
pianificazione	0	0	1
internet	0	0	1
regolazioni	0	0	1
romanzi	0	0	1
ismi	0	0	1
pena	0	0	1
domanda	0	0	1
costruttivismo	0	0	1
correzione	0	0	1
affido	0	0	1
imperialismo	0	0	2
acuto	0	0	6
riproduzione	0	0	1
image	0	0	1
acciaieria	0	0	1
giochi	0	0	1
aperitivo	0	0	6
aula	0	0	2
accensione	0	0	1
enron	0	0	1
orario	0	0	3
contatto	0	0	4
brevetto	0	0	1
immagine	0	0	1
protocollo	0	0	2
filantropo	0	0	4
effetti	0	0	1
leninista	0	0	2
testo	0	0	1
anestesia	0	0	1
rifiuto	0	0	1
operaisti	0	0	2
analfabetismo	0	0	2
oncologia	0	0	1
cultura	0	0	1
trilogia	0	0	1
atterraggio	0	0	1
forzista	0	0	1
lavaggio	0	0	2
taliban	0	0	2
opa	0	0	1
cronaca	0	0	1
vacanzieri	0	0	1
precipitazione	0	0	1
gita	0	0	2
ideologia	0	0	1
olivier	0	0	1
campus	0	0	1
verifica	0	0	1
dialisi	0	0	1
morte	0	0	4
producer	0	0	1
piazza	0	0	1
islamista	0	0	1
sforzo	0	0	1
macellazione	0	0	2
titolo	0	0	1
rotazione	0	0	2
cut	0	0	1
filter	0	0	2
calcio	0	0	1
jesus	0	0	1
utopia	0	0	1
epigoni	0	0	1
stroke	0	0	4
back	0	0	1
cazzata	0	0	1
audit	0	0	1
milano	0	0	1
uni	0	0	1
mercury	0	0	2
yes	0	0	1
olimpiade	0	0	2
contenuti	0	0	2
schiavista	0	0	1
formation	0	0	1
emissione	0	0	2
cerimonia	0	0	1
games	0	0	1
depurazione	0	0	1
cabaret	0	0	1
polio	0	0	3
investimento	0	0	3
accoglienza	0	0	4
iracheni	0	0	1
allattamento	0	0	1
no	0	0	1
isola	0	0	1
heinz	0	0	1
tasse	0	0	3
counter	0	0	5
riabilitazione	0	0	1
comunismi	0	0	1
frontiera	0	0	1
selezione	0	0	5
introduzione	0	0	1
esistenzialismo	0	0	1
lamentela	0	0	1
governatore	0	0	1
operaismo	0	0	2
somministrazione	0	0	1
maggio	0	0	2
classe	0	0	1
inserimento	0	0	3
lifting	0	0	2
nevrosi	0	0	1
umanesimo	0	0	1
gennaio	0	0	1
nemici	0	0	1
adrenalina	0	0	1
playstation	0	0	1
feudalesimo	0	0	1
viste	0	0	1
dissoluzione	0	0	1
compleanno	0	0	1
cattolicesimo	0	0	1
presidente	0	0	1
ricoveri	0	0	1
shuttle	0	0	1
capolavoro	0	0	1
training	0	0	3
rinascita	0	0	1
lavori	0	0	1
integrazione	0	0	3
comunione	0	0	1
turismo	0	0	1
song	0	0	1
figli	0	0	1
controllo	0	0	1
bizantini	0	0	1
istruzione	0	0	1
epopea	0	0	1
condizioni	0	0	2
