NOUN	WIKICONLL	REPUBBLICA	ITWAC
beat	0	1	0
pop	0	6	0
ominidi	1	2	2
missoni	0	2	0
trattativa	0	6	3
juve	0	1	0
minimalismo	0	1	0
consultazioni	0	3	0
big	1	2	0
antico	0	1	0
intervista	1	1	5
legge	0	3	13
svezia	0	1	0
mozart	0	2	0
rossini	0	2	0
campagna	0	13	13
investitura	0	1	2
natalizio	0	6	0
sessantotto	0	5	1
opa	0	1	0
carrà	0	1	0
elezione	0	2	3
democristiani	0	1	0
parto	2	3	17
gasolio	0	1	0
crash	0	4	0
consiglio	0	16	37
convention	0	1	3
esercizio	14	2	21
incarico	0	3	2
accordi	0	11	16
lancio	11	3	21
europei	0	12	0
prove	0	2	0
fabbricato	0	1	2
trionfo	0	2	0
rock	1	1	2
ruolo	0	3	649
natalizi	0	6	0
glasnost	0	2	2
sentenza	0	4	1
spadolini	0	1	0
milan	0	1	0
maradona	0	1	0
messico	0	1	0
biglietto	0	1	2
razzismo	0	5	0
giro	0	2	5
esami	0	4	14
recensore	0	1	0
verifica	1	2	14
rivalutazione	0	1	0
affidamento	0	1	1
parco	2	1	136
inaugurazione	0	8	21
missione	2	1	8
colombiano	9	1	2
colombiana	1	3	4
guatemala	0	1	0
tecnologica	0	1	0
nati	1	2	1
scolastica	0	1	0
crollo	0	2	10
crack	0	4	1
supermarket	0	1	0
impressionismo	0	2	1
beatles	1	3	0
partita	18	20	175
prototipo	2	2	0
fiat	0	1	0
imposte	0	18	10
votazione	0	1	0
crac	0	9	0
depressione	0	1	0
hippies	0	2	0
morte	11	3	60
qualifiche	9	14	13
privatizzazioni	0	1	1
oscar	0	9	0
dadaismo	0	1	0
lettore	0	1	3
inquadramento	0	1	0
romana	8	1	2
rio	0	1	0
adozione	0	5	11
romantici	2	1	2
sondaggi	0	1	1
salone	0	1	0
obbligo	0	1	13
anestesia	1	5	12
referendum	0	4	11
selezione	6	18	204
fattibilità	0	2	79
contenzioso	0	3	8
collina	0	1	3
week	0	2	0
cristiana	3	1	0
prova	0	1	1
rebecca	0	1	0
grand	0	1	0
tg	2	2	1
alternativa	0	7	0
nunzio	0	1	0
anni	0	2	6
finanziaria	0	1	1
embrioni	0	16	62
stalinista	0	1	1
catalogo	0	1	0
vietnam	0	2	0
catalogazione	0	1	1
scalata	0	1	0
introduzione	0	1	0
maman	3	6	0
giudizio	1	8	137
scala	0	1	0
strutturalismo	0	1	0
riunificazione	0	3	3
platonismo	0	1	0
assegnazione	0	6	3
produzioni	2	1	6
art	1	1	1
recessione	0	8	3
perestrojka	0	2	0
schimberni	0	2	0
fidelio	0	1	0
relazioni	0	1	0
thatcher	0	3	0
boom	0	3	24
consultazione	0	5	11
cinecittà	0	1	0
embrione	0	31	211
liberalizzazione	0	2	8
femminismo	0	3	1
esistenze	2	1	13
sanatoria	0	1	0
asta	4	5	22
mercato	0	2	5
walesa	0	1	0
dada	0	1	0
televisiva	0	1	0
invasione	3	6	5
apertura	4	14	139
espressionista	0	2	0
ultimatum	0	5	0
papà	0	3	0
reagan	0	1	0
sciopero	0	1	0
marxista	0	2	0
marx	0	1	0
fusione	1	6	2
adolescente	0	1	28
indagini	0	1	0
inflazione	0	1	0
europeo	1	4	0
studio	0	1	9
iscrizioni	1	11	231
attacco	1	1	0
fly	0	1	0
stato	1	1	1
esportazione	0	1	0
massacro	0	1	1
contratti	0	5	259
registrazione	3	5	78
tunnel	0	1	0
era	0	1	0
pinochet	0	1	0
davis	0	1	0
ungheria	0	1	0
vernissage	0	1	0
new	0	1	0
istituzionale	0	1	0
unificazione	0	2	0
islamica	2	1	0
jalta	0	1	0
golfo	0	2	0
versailles	0	1	0
golpe	0	4	2
scuola	2	2	111
colloqui	0	2	2
assunzione	0	3	7
juniores	29	1	12
suicidio	0	1	0
rapporto	0	2	4
terrorismo	0	2	1
corso	0	1	20
test	2	3	125
assemblaggio	0	1	4
pensionati	0	10	9
gladio	0	1	0
concezione	0	1	2
g	0	1	0
sceneggiature	0	1	0
stagione	20	2	63
organizzazione	0	2	1
germania	0	1	0
mutazione	0	1	6
sceneggiatura	0	2	3
promozione	0	2	1
transizione	1	2	1
fiducia	0	1	2
welfare	0	1	0
campionati	1	1	1
determinazione	0	1	6
scandalo	0	2	0
verbale	0	1	1
olimpico	3	5	2
tattiche	0	2	1
liquidazione	0	2	0
desertificazione	0	1	0
incriminazione	0	2	0
sorteggio	0	1	0
dichiarazione	0	3	3
fidanzamento	0	1	0
tour	2	1	6
uefa	0	1	0
elezioni	0	3	27
arresti	0	1	0
chiusura	0	2	8
decisione	0	1	5
assemblea	0	4	3
concessioni	0	1	0
pillola	0	1	0
comizio	0	4	0
debutto	5	2	1
adolescenti	6	3	66
di	0	2	0
appennino	1	1	3
anteprima	0	1	0
acquisto	0	3	10
martinazzoli	0	1	0
mickey	0	1	0
tribunale	0	1	0
scozia	0	1	0
visita	0	1	7
turchia	0	1	0
tex	0	1	0
risveglio	0	1	0
aperitivi	0	1	0
genova	0	1	0
pescara	0	1	0
clinton	0	1	0
iscrizione	0	5	425
trianon	0	1	0
istruttoria	0	3	32
mobilitazione	0	3	0
assunzioni	0	1	2
vigilia	0	1	1
primavera	0	6	49
collocamento	0	4	1
rivoluzioni	0	1	0
politico	0	2	0
mani	0	6	1
scelta	0	1	6
insurrezione	0	1	1
esistenzialista	1	2	0
condanna	0	1	0
ritiro	3	11	57
ferragosto	0	2	4
infortunio	5	1	9
velasco	0	1	0
dittatura	0	1	0
impianto	4	7	812
tangentopoli	0	21	3
qualificazione	6	3	42
datazione	0	1	0
modernità	0	1	23
capitalismo	0	1	0
selezionatori	0	1	0
offerta	0	2	0
adesione	6	6	203
voto	0	5	30
biscione	0	1	0
gardini	0	1	0
conservatorio	0	1	0
prima	0	1	0
homo	1	1	0
facciata	0	1	0
ripresa	1	1	1
convegno	1	1	13
addio	0	1	0
berlusconi	0	2	0
fascismo	2	1	5
iniziative	0	2	0
zanetti	0	1	0
designazione	0	2	0
svizzera	0	1	0
avviso	1	2	3
immatricolazioni	0	1	5
guerra	11	2	33
velez	0	1	0
pubblicità	0	1	3
walt	0	1	0
dimissioni	0	5	4
sessanta	0	1	0
aperture	0	1	16
born	0	1	0
babies	0	3	0
bambini	0	1	0
dietor	0	1	0
divorzio	0	1	2
acceleratore	2	1	0
avvio	0	1	16
fascisti	0	1	0
vienna	0	1	0
raduno	0	1	14
potenza	0	2	15
clinica	0	1	2
assegnazioni	0	2	4
blair	0	1	0
operatori	2	1	21
tregua	0	1	0
atlanta	0	1	0
registrazioni	1	2	18
marketing	0	3	7
coppa	0	1	1
yuppie	0	1	0
ammortamento	1	1	45
scissione	1	3	5
cernobyl	0	1	0
barba	0	1	0
mitterrand	0	1	0
olimpiadi	0	2	0
stampa	2	2	31
spot	0	1	0
concorso	1	1	4
riscaldamento	7	2	18
alleanza	0	1	0
maastricht	0	3	0
internet	3	1	16
rivolta	0	1	0
invicta	0	1	0
inserimento	0	1	28
bancarotta	0	2	0
pagamento	0	1	82
adesioni	0	2	11
difesa	0	1	1
intervento	6	1	16
travaglio	0	1	3
turismo	0	1	1
politica	0	1	0
inghilterra	0	1	0
scioglimento	1	1	1
budget	0	1	3
bicamerale	0	2	0
merlin	0	1	0
millennium	2	2	1
atlante	0	1	0
euro	1	3	32
qualifica	4	1	30
atomica	0	1	0
palazzo	1	1	0
bossi	0	1	0
mortem	0	1	0
presentazioni	0	1	0
ascolti	0	1	4
madonna	3	1	0
tensioni	0	1	0
sonno	0	1	5
moderni	2	2	0
colpo	0	1	0
adolescenza	1	2	51
manovra	0	1	0
ins	0	1	0
cena	0	1	15
cottura	0	1	1
mobutu	0	1	0
secessione	0	1	1
nazista	0	1	0
consumismo	0	1	0
turno	0	1	1
rialzo	0	1	0
parcella	0	1	1
giubileo	0	4	4
censura	0	1	5
federali	0	1	0
inchiesta	0	4	5
lunedì	0	1	0
barocche	0	1	0
irap	0	1	0
match	2	1	11
revisione	0	2	10
salario	0	1	2
terremoto	1	2	3
zaccheroni	0	1	0
libertà	0	1	0
cella	0	1	0
annuncio	0	1	2
ascolto	1	1	24
paraguay	0	1	0
processo	1	13	3
ampliamento	0	1	0
comprensione	3	2	36
ulivo	0	2	2
privatizzazione	0	1	0
forme	1	1	2
incentivi	0	1	0
raccolta	0	2	11
cupola	0	1	0
esecuzione	0	1	0
cit	0	1	0
millennio	0	1	0
brindisi	0	1	0
consulta	0	1	0
stampi	0	1	0
in	0	2	0
riconoscimento	0	1	17
influenza	0	1	2
latine	0	1	1
cipe	0	3	11
accoglienza	0	1	7
militare	0	1	0
posizionamento	0	2	11
esperienze	0	1	1
positivista	0	1	0
quotazione	0	1	2
partito	0	1	4
federalismo	0	1	1
identificazione	0	1	1
conclave	0	1	16
lee	0	1	0
primarie	0	2	0
tavoli	0	1	0
contatti	0	1	1
aborto	0	1	1
occidentale	0	1	0
contestazione	0	1	0
bonus	0	1	0
benzina	0	1	0
newport	0	1	0
partenza	1	2	52
telecom	0	1	0
assedio	0	1	0
norme	0	1	1
moderno	0	1	0
candidatura	0	1	4
malpensa	0	1	0
portogallo	0	1	0
religiosa	0	1	0
monsone	0	1	1
bonsai	1	0	3
attivazione	1	0	7
romano	3	0	0
cristiano	3	0	0
monete	1	0	0
normanna	2	0	0
mrna	19	0	0
rna	8	0	0
gate	2	0	0
doors	1	0	0
vulgata	2	0	0
olimpiade	1	0	0
telescopio	1	0	0
rilascio	28	0	2
sequenza	89	0	36
nirvana	1	0	0
marzo	1	0	0
conformazione	1	0	2
anconetani	1	0	0
sapiens	3	0	0
shared	4	0	0
ittiti	1	0	0
singolarità	1	0	0
agonismo	1	0	4
imperiale	2	0	0
crisis	20	0	5
esistenza	6	0	35
case	2	0	0
conoscenza	3	0	3
season	33	0	30
macintosh	2	0	0
decremento	1	0	2
system	1	0	0
mac	1	0	0
costruzione	1	0	1
moneta	2	0	0
nuclei	2	0	1
pontificato	3	0	0
operazioni	1	0	0
ordine	10	0	21
indipendenza	2	0	1
comprensioni	2	0	12
fab	2	0	0
peri	1	0	1
anglosassoni	1	0	0
alpi	3	0	1
urina	2	0	3
strappo	1	0	0
queen	1	0	0
elaborazione	7	0	16
titolo	2	0	3
filtro	2	0	3
sostituzione	1	0	0
definizione	1	0	7
convocati	8	0	0
inizio	3	0	9
impero	1	0	0
recording	1	0	0
scienza	1	0	7
draft	2	0	7
cbs	3	0	0
ritornello	2	0	1
alpine	1	0	0
show	7	0	12
appello	1	0	24
destinazione	2	0	6
boot	2	0	1
evoluzioni	85	0	0
dreadnought	46	0	0
release	53	0	33
alpino	1	0	0
campagne	1	0	0
jugoslavia	1	0	0
rc	4	0	0
blind	1	0	0
bend	2	0	0
romane	4	0	0
cc	1	0	0
classico	3	0	0
discussione	1	0	3
start	1	0	1
modern	3	0	0
rivoluzionari	2	0	0
sumo	1	0	0
termine	2	0	38
nascita	1	0	8
metro	6	0	0
espressionisti	1	0	2
amplificatore	2	0	5
federazione	1	0	0
industrializzazione	1	0	9
cesare	1	0	0
essere	1	0	0
ormone	1	0	0
distruzione	1	0	0
scientifico	1	0	0
prototipi	1	0	0
punk	1	0	0
esposizione	5	0	24
adattamenti	1	0	0
indoeuropeo	3	0	0
convocazione	1	0	1
terapia	1	0	3
romantico	2	0	4
compilatore	1	0	7
evoluzione	22	0	0
contest	2	0	1
so	1	0	0
finanziamento	1	0	28
bonifica	1	0	3
espressività	3	0	5
nata	1	0	0
compressione	2	0	0
alpha	2	0	8
illuminismo	2	0	9
codice	3	0	1
ordini	4	0	15
umanisti	1	0	0
comunisti	1	0	0
processori	1	0	1
gap	1	0	2
sganciamento	1	0	0
serata	2	0	92
pubblicazioni	1	0	6
restyling	11	0	1
riformatori	1	0	0
bundesliga	1	0	0
concilio	1	0	6
orientamento	2	0	10
sassone	1	0	0
carestia	1	0	0
obesità	1	0	0
pubblica	1	0	0
cei	1	0	0
ceramica	1	0	0
unitari	4	0	2
uscita	1	0	7
riserva	3	0	59
regolazioni	1	0	0
teen	5	0	0
deep	1	0	0
risc	1	0	0
distribuzione	1	0	3
cognitivismo	1	0	0
generazione	1	0	0
battle	3	0	0
commercializzazione	1	0	1
processing	4	0	23
flop	5	0	0
combustione	1	0	2
umanista	1	0	0
competenze	2	0	2
white	1	0	0
formula	1	0	0
decollo	2	0	1
schizofrenia	1	0	2
disney	3	0	0
classicismo	1	0	1
battaglia	1	0	9
adattamento	1	0	3
preparazione	1	0	3
a	2	0	0
metrò	1	0	0
umane	1	0	0
olimpica	4	0	0
wimbledon	1	0	0
blue	1	0	0
valvole	1	0	0
bruciatori	1	0	0
game	1	0	3
islamici	1	0	0
bimba	1	0	0
neanderthal	1	0	4
van	1	0	0
trial	2	0	2
clovis	4	0	0
migrazioni	1	0	0
dark	1	0	0
islamico	2	0	0
greca	1	0	0
divisione	1	0	0
latini	1	0	0
ricovero	1	0	21
azione	1	0	0
college	1	0	2
supereroe	1	0	0
collisione	2	0	0
ricerca	2	0	5
ottomana	1	0	0
ammissione	2	0	14
celebrità	1	0	0
processamento	2	0	9
seminario	2	0	6
trattamento	2	0	107
compleanno	1	0	0
libertadores	8	0	0
vita	1	0	11
drop	1	0	0
tribolazione	1	0	14
infezione	1	0	0
eccitazione	3	0	4
modello	1	0	2
safe	5	0	2
civil	1	0	0
amplificatori	2	0	3
universitari	2	0	11
borsa	1	0	0
autonomia	2	0	4
album	1	0	1
dico	1	0	0
hospital	1	0	0
salvataggio	1	0	0
order	4	0	13
proibizionismo	1	0	0
olimpici	1	0	1
dinner	3	0	17
schieramento	1	0	0
visione	2	0	34
flash	3	0	6
progettazione	1	0	5
diabetici	1	0	5
main	3	0	0
filtraggio	1	0	5
elaboratori	1	0	1
pubertà	1	0	1
cellulare	1	0	0
angel	2	0	0
medicina	1	0	0
b	2	0	0
arco	1	0	0
replicazione	4	0	0
clear	1	0	0
camera	1	0	9
processore	2	0	27
shang	1	0	0
pasto	1	0	2
realizzazione	1	0	0
classica	1	0	0
loading	1	0	0
romani	1	0	0
han	1	0	0
progetto	3	0	18
umano	1	0	0
vendite	1	0	4
mammiferi	2	0	0
scoperta	7	0	1
trattato	1	0	0
sesso	1	0	0
scontro	1	0	0
combattimento	3	0	2
industriali	1	0	1
disponibilità	2	0	3
veggenza	1	0	13
cognizione	1	0	6
occupazione	1	0	15
pianificazione	1	0	7
malattia	2	0	5
repubblica	1	0	0
germanico	1	0	0
uso	1	0	2
programmazione	2	0	2
ere	1	0	0
nane	1	0	0
xx	1	0	0
unitario	1	0	0
cri	1	0	0
storia	1	0	7
recovery	1	0	0
recupero	1	0	1
vaccinazione	1	0	1
banchetto	1	0	0
lista	2	0	2
prenotazione	1	0	9
x	1	0	0
latino	1	0	1
collezione	1	0	1
lingua	1	0	0
australia	1	0	0
universitario	1	0	0
posizione	1	0	1
pdu	1	0	0
amplificazione	1	0	4
diagnosi	1	0	4
ispanici	1	0	0
pubblicazione	1	0	4
catecumenato	2	0	7
digestione	1	0	5
collections	2	0	0
serbatoio	1	0	0
carico	1	0	3
rally	1	0	0
candidati	2	0	4
kurgan	1	0	0
conference	1	0	9
medical	1	0	0
atlantica	1	0	0
atlantico	1	0	0
school	2	0	4
porno	1	0	0
zoo	1	0	0
roman	1	0	0
hung	1	0	0
cerimonia	1	0	1
iniezione	2	0	4
getto	1	0	0
greci	1	0	0
angkor	2	0	0
montaggio	1	0	4
laurea	2	0	58
corpo	1	0	0
fix	1	0	0
salto	1	0	0
arab	1	0	0
cantante	1	0	0
canale	1	0	0
fioritura	1	0	3
iniezioni	1	0	1
epidemia	1	0	0
norvegese	2	0	0
confezionamento	1	0	4
evoluzionismo	3	0	0
engineering	1	0	0
flight	1	0	1
ora	6	0	0
socialista	1	0	0
concerto	1	0	25
greco	1	0	0
diploma	1	0	2
radiation	1	0	0
corsi	1	0	35
offset	3	0	0
ii	1	0	0
nomina	1	0	0
romanico	1	0	0
luce	0	0	3
suono	0	0	2
forma	0	0	5
federalista	0	0	1
ossidazione	0	0	1
esodo	0	0	4
ira	0	0	8
sintesi	0	0	1
conoscenze	0	0	50
cultura	0	0	9
conferenze	0	0	127
citazione	0	0	1
immatricolazione	0	0	26
bilancio	0	0	4
industrial	0	0	1
selection	0	0	17
enfasi	0	0	9
caduta	0	0	5
sistema	0	0	1
zona	0	0	41
cambio	0	0	42
production	0	0	7
programma	0	0	7
cooperativa	0	0	2
installazione	0	0	18
immagini	0	0	2
candidato	0	0	5
vivaio	0	0	1
restauro	0	0	3
messa	0	0	5
avanguardista	0	0	2
importazione	0	0	1
parchi	0	0	1
incidente	0	0	6
discesa	0	0	3
investimento	0	0	23
consolidamento	0	0	10
sanzioni	0	0	3
formulazione	0	0	3
proposta	0	0	24
iscritti	0	0	23
screening	0	0	25
scrutinio	0	0	3
inquinamento	0	0	1
matrimonio	0	0	13
visualizzazione	0	0	21
occupazioni	0	0	2
imputazione	0	0	10
beta	0	0	3
struttura	0	0	9
rocket	0	0	1
scelte	0	0	4
informazione	0	0	17
statistica	0	0	1
crediti	0	0	1
testi	0	0	26
approvazione	0	0	10
inizializzazione	0	0	1
avviamento	0	0	4
visto	0	0	21
antipasto	0	0	37
atti	0	0	18
invito	0	0	3
crime	0	0	1
dieta	0	0	3
medioevo	0	0	1
fase	0	0	13
esperienza	0	0	6
crimine	0	0	22
prenotazioni	0	0	9
tax	0	0	4
stazione	0	0	11
globalizzazione	0	0	5
scavo	0	0	2
bonelli	0	0	1
stallo	0	0	1
delibera	0	0	1
credenza	0	0	1
romina	0	0	2
letargo	0	0	3
decisioni	0	0	2
setting	0	0	1
doccia	0	0	1
mare	0	0	1
moderazione	0	0	17
cog	0	0	13
reazioni	0	0	11
proteste	0	0	11
home	0	0	7
abilitazione	0	0	2
statuto	0	0	1
urbanizzazione	0	0	8
war	0	0	2
concetto	0	0	10
industria	0	0	2
diffusione	0	0	3
migrazione	0	0	1
lettura	0	0	22
laboratorio	0	0	3
messe	0	0	2
caricamento	0	0	10
chip	0	0	3
anima	0	0	3
alimentazione	0	0	42
linguistica	0	0	1
condizionamento	0	0	6
istallazione	0	0	1
udienza	0	0	4
alluvione	0	0	3
mossa	0	0	8
eruzione	0	0	3
uragani	0	0	2
monadi	0	0	1
valenza	0	0	4
genitori	0	0	3
erogazione	0	0	2
semina	0	0	16
esibizioni	0	0	1
teens	0	0	1
evangelizzazione	0	0	15
concepimento	0	0	14
band	0	0	1
trasporto	0	0	1
ballo	0	0	2
intermedio	0	0	5
discoteca	0	0	14
satellitare	0	0	1
proposte	0	0	18
guarigione	0	0	1
serre	0	0	1
cancro	0	0	8
femministi	0	0	1
formazione	0	0	42
concezioni	0	0	6
pilota	0	0	5
terminalità	0	0	4
trade	0	0	1
esordio	0	0	5
decoder	0	0	28
sud	0	0	1
rientro	0	0	1
allargamento	0	0	15
press	0	0	10
tsunami	0	0	1
tore	0	0	1
contagio	0	0	6
adozioni	0	0	1
regata	0	0	38
negoziazione	0	0	2
valutazione	0	0	32
fondazione	0	0	4
questionario	0	0	1
certificazione	0	0	2
protostoria	0	0	7
collaboratore	0	0	1
filosofia	0	0	5
collaudo	0	0	2
lato	0	0	1
gio	0	0	1
dominanza	0	0	1
ospedaliero	0	0	1
sole	0	0	2
yuppies	0	0	1
competitività	0	0	1
sfiducia	0	0	1
elaborazioni	0	0	1
incubatore	0	0	7
ipotesi	0	0	3
socialità	0	0	1
editing	0	0	2
primary	0	0	3
pulitura	0	0	3
impostazioni	0	0	1
canzone	0	0	3
accertamento	0	0	13
esaurimento	0	0	3
hippy	0	0	2
venzione	0	0	12
testing	0	0	9
dessert	0	0	13
scudetto	0	0	1
accesso	0	0	5
ipertensione	0	0	3
richiesta	0	0	4
deployment	0	0	1
toro	0	0	2
richieste	0	0	1
media	0	0	1
compostaggio	0	0	1
esperimento	0	0	2
testa	0	0	1
accreditamento	0	0	7
normazione	0	0	2
canto	0	0	4
conflitto	0	0	4
sperimentazione	0	0	3
drifting	0	0	1
elf	0	0	2
fregatura	0	0	2
audit	0	0	7
verifiche	0	0	2
collasso	0	0	6
disco	0	0	38
apprendistato	0	0	4
alfabetizzazione	0	0	9
matematica	0	0	4
logica	0	0	16
religione	0	0	4
esplosione	0	0	1
omicidio	0	0	1
griglia	0	0	6
web	0	0	5
giustificazione	0	0	1
mucca	0	0	1
potenti	0	0	5
respingimento	0	0	2
apocalisse	0	0	1
fatti	0	0	7
impresa	0	0	4
coppe	0	0	1
menopausa	0	0	30
spazio	0	0	5
donazione	0	0	1
notifica	0	0	2
domanda	0	0	8
domande	0	0	1
personalizzazione	0	0	3
autorizzazione	0	0	3
cicogna	0	0	1
illuministi	0	0	2
bagagli	0	0	2
electronic	0	0	1
mezzogiorno	0	0	1
finali	0	0	16
proiezione	0	0	1
tragedia	0	0	1
macellazione	0	0	8
insediamenti	0	0	1
sessione	0	0	4
cronaca	0	0	1
allenamento	0	0	7
fabbricazione	0	0	2
stima	0	0	2
personale	0	0	3
posting	0	0	3
rappresentazione	0	0	1
training	0	0	5
watching	0	0	1
uomo	0	0	1
prospettiva	0	0	1
ipo	0	0	2
potere	0	0	1
cristianesimo	0	0	1
equilibrio	0	0	1
carcere	0	0	3
ibernazione	0	0	2
load	0	0	1
trauma	0	0	3
monitoraggio	0	0	4
impianti	0	0	2
shock	0	0	2
dissesto	0	0	6
campeggio	0	0	1
pulcini	0	0	1
piano	0	0	6
segnalazione	0	0	3
concerti	0	0	2
stipendio	0	0	2
autunno	0	0	2
soggetti	0	0	1
istruttorie	0	0	3
cereali	0	0	1
cimitero	0	0	1
bossa	0	0	1
seminari	0	0	4
noviziato	0	0	3
film	0	0	7
stadio	0	0	1
presidente	0	0	2
settecento	0	0	1
zie	0	0	1
controriforma	0	0	1
vacanza	0	0	5
delirio	0	0	2
lavoro	0	0	5
palio	0	0	3
arie	0	0	1
stazioni	0	0	7
headliner	0	0	1
attentati	0	0	1
booking	0	0	1
convegni	0	0	4
cantata	0	0	1
utilizzo	0	0	1
ingresso	0	0	8
sales	0	0	8
accettazione	0	0	6
vitamina	0	0	1
cantieri	0	0	1
estate	0	0	2
processor	0	0	11
cani	0	0	1
participation	0	0	1
immersione	0	0	1
master	0	0	3
compito	0	0	3
avvertimento	0	0	2
segnalamento	0	0	3
gestione	0	0	5
evento	0	0	6
rifornimento	0	0	2
individualità	0	0	1
incontri	0	0	4
fine	0	0	2
eternità	0	0	5
calcolo	0	0	5
musica	0	0	1
alba	0	0	5
dizioni	0	0	1
secessionista	0	0	1
trattamenti	0	0	7
aumenti	0	0	2
destino	0	0	1
allocazione	0	0	2
op	0	0	3
libri	0	0	3
ciclo	0	0	5
rilevazione	0	0	1
università	0	0	2
miti	0	0	1
format	0	0	1
vista	0	0	2
ring	0	0	4
progresso	0	0	1
deposizione	0	0	1
sentimento	0	0	3
opinione	0	0	1
nido	0	0	2
blog	0	0	3
risposta	0	0	1
iscritto	0	0	2
surrealista	0	0	1
cellulari	0	0	1
party	0	0	8
analisi	0	0	17
club	0	0	1
archivio	0	0	1
vacanziero	0	0	4
impostazione	0	0	1
intenzioni	0	0	1
divinità	0	0	1
consenso	0	0	2
gare	0	0	1
dottorato	0	0	4
pensione	0	0	2
governo	0	0	1
discorso	0	0	1
bagno	0	0	1
inferno	0	0	1
povertà	0	0	2
versioni	0	0	1
riforme	0	0	2
intra	0	0	2
omologazione	0	0	1
assemblee	0	0	1
cognizioni	0	0	4
install	0	0	5
convenzione	0	0	2
balzo	0	0	2
asilo	0	0	3
dimissione	0	0	6
società	0	0	1
allertamento	0	0	7
centri	0	0	1
voti	0	0	1
carica	0	0	3
istruzione	0	0	4
separazione	0	0	3
factor	0	0	2
isolamento	0	0	1
filtering	0	0	1
consumo	0	0	7
persona	0	0	12
immaginazione	0	0	1
set	0	0	2
intifada	0	0	2
bastone	0	0	2
eccellenza	0	0	1
fuoco	0	0	2
bozza	0	0	2
trattati	0	0	1
congedo	0	0	6
napster	0	0	3
leggi	0	0	9
logiche	0	0	4
anime	0	0	1
weimar	0	0	1
doc	0	0	5
playoff	0	0	1
linking	0	0	1
menu	0	0	2
scrittura	0	0	16
apprendimento	0	0	3
sentimenti	0	0	1
notifiche	0	0	1
sera	0	0	1
carolingia	0	0	1
trasfusione	0	0	1
buffet	0	0	1
mandato	0	0	1
accensione	0	0	4
soci	0	0	1
condivisione	0	0	1
prodotto	0	0	3
mix	0	0	8
figurazione	0	0	2
distorsione	0	0	2
corsa	0	0	5
pulizia	0	0	1
storico	0	0	1
vacanzieri	0	0	2
paralisi	0	0	1
output	0	0	2
impegno	0	0	14
viste	0	0	9
ricostruzione	0	0	1
sabato	0	0	2
grunge	0	0	4
celebrazione	0	0	1
bosman	0	0	1
cattura	0	0	1
