NOUN	WIKICONLL	REPUBBLICA	ITWAC
ambasciatori	1	8	8
membro	76	26	44
gerarca	1	1	9
avvocato	2	5	11
modella	14	19	34
meccanico	0	2	4
questore	0	6	1
mini	0	1	0
esponente	0	9	2
assistente	3	6	5
carcerato	5	1	10
colonie	44	18	116
cantanti	1	2	0
compositori	0	1	0
giornalisti	1	2	4
commercianti	0	1	0
operaio	3	32	12
brigatisti	0	6	7
compagni	79	44	105
carcerati	6	1	13
galeotto	6	2	10
titolare	0	3	4
covo	0	1	1
officio	6	2	0
soldato	20	7	20
seguace	0	1	3
inviati	0	1	0
seguaci	2	2	2
padrino	0	7	1
radiocronista	0	1	0
governatore	17	109	39
generale	12	83	26
tossicomane	0	2	1
padrone	5	6	17
astronauta	3	10	13
delfino	0	4	2
albergo	3	5	10
ras	0	1	0
uomo	1	19	15
cipputi	0	1	0
coppia	0	4	11
bar	0	1	4
ambasciatrice	0	7	1
vicesegretario	1	7	0
foresteria	0	1	1
palazzi	1	2	1
partners	0	1	1
ragazzo	19	17	40
opposizione	1	3	6
aeroporto	1	2	4
nazisti	6	4	11
latteria	0	1	1
warrant	0	3	0
detenuto	7	3	35
giocatori	19	10	25
giocatore	45	19	60
cameriera	3	4	3
arrangiatore	0	1	0
mussolini	0	1	0
esperto	0	3	2
discepoli	1	6	0
villa	0	5	5
fedeli	0	4	1
discepolo	2	2	0
impiegato	3	4	5
simca	0	1	0
terrorista	4	22	33
sudditi	1	2	5
giornalista	2	18	34
regime	0	1	14
poliziotto	32	12	52
consiglieri	2	13	8
aziende	1	2	3
contadini	1	1	8
operai	1	10	24
analista	0	3	2
teatro	2	4	10
collaboratrice	1	4	2
calciatore	21	12	42
parlamentari	2	6	4
primario	0	2	1
cream	0	1	0
cugini	0	3	0
campioni	9	10	19
esattore	0	1	0
progressisti	0	2	0
ct	1	3	16
contestatori	0	5	1
stazione	12	2	19
cow	0	1	0
giocatrice	4	1	2
sindacalisti	1	5	11
carneade	0	2	0
spia	2	6	7
studenti	22	10	99
circuito	0	2	0
rhodesia	0	3	1
studente	12	7	55
jena	0	1	0
convento	75	14	149
uomini	2	4	9
insegnante	8	5	25
regno	4	2	18
imperatrice	10	2	7
rizzoli	0	1	0
vietnam	0	1	0
cia	0	1	1
air	0	1	0
premier	5	68	59
ideologia	0	2	1
poeta	0	1	1
corrispondente	0	10	2
criminali	1	1	0
sala	6	4	5
mezzobusto	0	1	1
coloni	3	3	5
chiesa	50	5	54
deposito	2	2	16
roccaforte	0	3	0
magistrato	4	27	23
anic	0	2	0
psdi	2	2	0
libia	0	1	0
segretari	0	7	6
capogabinetto	0	12	0
vicedirettore	1	11	0
ispettore	3	2	9
eminenza	0	2	0
commando	0	4	0
compagne	3	4	9
scrittore	1	1	2
coniuge	1	2	24
tossicodipendenti	3	8	37
capogruppo	0	6	6
fidanzata	84	21	93
socialista	1	5	3
collezione	0	2	0
fascisti	4	11	22
cronista	0	1	1
coniugi	6	7	33
diva	1	3	4
clown	0	1	2
emerson	0	1	4
veterani	1	3	0
soldati	21	3	32
membri	101	10	55
br	0	3	2
co	0	1	0
proprietario	5	7	7
libris	7	23	59
lakers	0	1	1
fiat	3	3	0
povera	0	1	0
superman	0	3	3
socia	0	1	2
cava	1	1	29
latitante	0	2	0
donna	3	2	3
rappresentante	0	5	7
dittatore	6	34	76
ostaggio	0	5	4
rivale	6	10	9
alleati	17	22	35
commissari	0	1	1
attendente	1	2	1
alleato	13	10	29
drogati	0	2	3
prigionieri	27	6	28
assessori	0	4	5
alfa	0	3	0
nesi	0	1	0
zingaro	0	1	0
miss	0	2	6
quota	0	1	3
protagonista	1	4	1
ragazzi	2	14	20
ghetti	0	1	1
carcere	6	1	15
time	0	1	0
sequestratore	0	1	0
direttrice	0	2	1
lafico	0	1	0
complici	0	3	4
genero	0	2	0
legali	0	2	0
infermiera	2	3	1
com	0	1	0
aiuto	0	1	3
satelliti	0	13	7
pentapartito	0	2	0
minatore	0	5	5
missino	0	1	2
palazzo	10	9	8
ballerino	1	3	4
squadra	42	5	26
maggioranza	1	2	9
dc	9	21	0
accoliti	2	1	0
amleto	0	2	0
genio	0	2	5
guardasigilli	1	3	0
angelo	2	3	15
comuni	4	1	4
mercenari	1	1	2
fotomodella	1	4	1
fidanzato	47	19	73
tecnico	6	6	9
portiere	5	1	21
sessantottino	0	8	9
poveri	0	4	5
schiavi	38	7	27
golden	0	1	0
tipografo	0	1	3
genesis	1	2	5
prima	1	1	1
nazionale	1	3	3
proprietari	3	4	25
sovrano	7	7	3
signora	3	10	10
rambo	0	3	1
aiutante	0	2	3
desiderio	0	1	0
società	2	3	1
amori	0	1	0
combattente	5	8	34
coach	2	2	7
caserme	2	1	2
cascina	0	3	0
ragazza	55	8	64
collega	35	19	85
democratica	0	1	0
brillante	0	1	0
candidato	1	40	17
sostenitori	3	3	5
monastero	30	5	17
riformatorio	0	1	0
gloria	0	3	1
girls	0	1	0
piccolo	0	1	0
guardie	3	7	9
breda	1	3	0
sottufficiale	1	1	3
ragazze	2	2	2
cappella	5	1	10
post	18	9	501
gescal	0	11	9
imperatore	29	4	9
amico	25	18	53
programmisti	0	1	0
pechino	0	1	0
portavoce	1	22	10
generali	1	11	4
angeli	0	1	1
contestazione	0	1	0
rivoluzionari	0	3	7
cabarettista	0	2	0
sindaci	1	8	7
bambina	2	3	3
bimbi	0	2	0
allieva	8	1	15
console	10	3	8
fabbrica	8	8	38
dimora	0	1	3
flotta	0	2	0
bicocca	0	1	0
finalista	1	1	1
sceneggiatore	0	2	3
possedimenti	5	1	4
gioielliere	0	1	0
beatles	2	10	1
varesine	0	10	2
play	0	2	0
attaccante	1	1	1
barista	0	1	0
condannati	1	1	1
grande	0	2	0
veterano	0	4	1
bagnino	0	1	0
pianista	1	1	4
divo	1	2	1
avversario	0	5	1
zelig	0	1	0
brigatista	2	3	8
italiani	0	1	4
esponenti	3	3	5
gandhi	0	2	0
prefetto	5	3	5
caserma	11	4	37
stelline	0	3	4
violinista	0	1	3
canavesio	0	1	0
centravanti	0	2	5
militare	0	5	0
azioni	0	5	0
dividendo	0	1	0
privilegio	0	1	0
pacifista	0	1	0
chitarrista	56	1	29
centralinista	0	2	0
seminarista	2	7	8
commilitoni	4	2	9
reali	1	1	0
ospedale	14	4	36
proprietà	1	2	5
giovani	0	8	9
aderenti	2	2	1
ideologi	0	1	1
economisti	0	1	0
yuppies	0	2	2
compagna	23	17	35
ladro	5	1	4
atalantino	0	2	4
buitoni	0	1	0
perugina	0	1	0
borsa	1	1	1
guardaspalle	0	2	0
stalla	1	1	6
fuoriclasse	0	1	3
ingegneri	0	1	5
piazzisti	0	2	0
camerieri	0	1	0
base	9	10	16
onorevole	3	5	0
pugile	6	7	25
empoli	0	1	0
cimitero	1	1	2
mariella	0	1	0
pri	4	2	0
pli	9	1	0
underground	0	1	0
ansaldo	0	7	0
madame	0	1	0
prof	0	1	19
appartamenti	2	1	0
laghetto	0	1	2
gemelli	0	1	0
fascista	3	4	10
finsider	0	1	0
caporedattore	0	1	1
micheli	0	1	0
debuttante	0	1	1
sede	3	10	16
soci	2	19	12
mundial	0	1	0
straniero	0	1	0
guerrieri	1	1	0
quartier	0	1	4
marinaio	3	3	5
sex	0	1	0
fumatori	0	17	60
ammiraglio	2	11	1
malati	1	1	1
pro	0	1	0
docente	1	4	17
cronisti	0	1	0
partigiani	9	6	20
immigrato	0	1	0
prostituta	6	8	16
sceriffo	3	1	3
aerei	0	1	0
manicomi	0	2	0
mogli	5	8	18
sergente	3	4	7
medusa	0	1	0
fidanzati	1	2	0
ajax	0	1	0
maggiore	1	4	3
banchiere	0	9	8
fans	0	2	4
diplomatico	2	6	3
finanziere	1	4	1
fanciullo	0	1	0
eroe	0	2	10
banca	0	2	15
tenente	4	5	10
concessionario	0	2	0
accusatore	0	1	0
trotzkisti	0	1	0
muratore	0	2	1
savoia	0	3	0
eastern	0	2	0
yacht	0	2	0
clienti	0	3	16
maneggio	0	2	0
bordello	0	1	2
coniglietta	0	2	4
cestista	1	1	1
federazione	0	4	5
vice	4	10	14
hostess	0	4	1
pentito	0	1	0
terra	0	2	1
ribelli	3	5	112
formalisti	0	1	0
democrazie	0	1	5
burocrate	0	3	1
veterinario	0	1	0
azionista	0	4	0
scuola	10	4	86
factotum	0	3	0
suora	4	1	2
domestico	0	2	0
ragioniere	0	1	2
guardia	9	18	8
garzone	0	1	2
presidi	1	1	5
surrealisti	0	1	0
rossi	0	1	2
patria	1	2	1
avanguardia	0	1	1
spie	1	1	0
sisma	0	1	0
autonomi	0	1	0
enichem	0	1	0
campionessa	1	2	5
panfilo	0	3	0
inquilino	0	3	8
falco	0	2	0
reginetta	0	4	2
candidata	0	2	0
stella	7	1	5
velocista	0	1	9
bomba	0	1	0
soprano	0	1	1
ambasciata	0	5	4
associazione	0	1	7
dada	0	1	0
aguzzino	0	1	1
comunista	5	28	36
dissidente	0	20	2
pupilli	2	2	2
camionista	0	2	3
evasori	0	1	0
ricercatore	2	2	2
mito	0	3	3
singer	2	1	2
nemico	5	14	8
schiavo	14	2	9
anchorman	0	3	0
illustratore	0	1	1
impiegati	2	2	8
istituto	1	6	40
massimo	0	3	0
comecon	0	5	1
colonialismo	0	1	0
venditore	1	1	0
ufficio	2	5	36
parrucchiere	0	1	1
imprenditore	1	1	15
pastori	0	3	0
preti	2	5	12
blocco	2	13	27
attivista	0	1	3
innocenti	0	5	0
lady	2	1	1
occupanti	1	2	4
bancario	0	2	0
dp	1	4	0
alleanza	0	1	0
commentatore	0	3	0
girl	0	1	0
miliardario	0	2	0
enimont	0	1	0
pdup	2	9	1
manifesto	1	1	1
vertici	0	5	0
dalmine	0	1	0
falck	0	2	0
ddr	8	19	22
snia	2	3	5
fienile	0	1	4
archivio	0	2	0
esperti	0	1	0
prigioniero	3	3	8
carceriere	2	1	1
spagnolo	0	1	0
gemello	0	1	0
lavoratori	1	4	37
città	0	2	5
hippies	0	2	3
cliente	0	2	8
informatore	2	1	0
germania	5	28	0
drogato	1	3	1
professori	0	1	4
servitore	0	1	4
officina	2	1	3
potenze	0	3	8
bambini	1	4	38
berlino	0	1	0
infermiere	0	6	1
milanista	0	1	4
atleti	5	5	20
atleta	8	4	70
commerciante	0	2	1
colonizzazione	0	1	0
rdt	2	51	2
dittature	0	2	1
protagonisti	0	1	3
promessa	1	1	5
superpotenza	0	4	1
residenze	0	1	0
masters	0	1	0
yuppie	0	2	0
mondo	0	4	2
centrale	1	1	5
cenerentola	0	1	0
fgci	0	2	2
beni	0	1	1
recordman	0	2	0
giardiniere	1	1	0
nemici	3	21	21
pan	0	1	0
pastore	1	1	7
pci	3	11	37
feudo	3	3	4
partito	3	12	15
repubblichini	0	2	8
cittadini	5	2	15
alleata	1	1	0
architetto	0	2	1
labirinto	0	1	0
fortezza	2	10	3
esterni	0	2	0
preside	1	2	4
editore	1	2	2
adolescenti	0	1	1
reggia	0	8	0
ministero	0	7	0
international	0	1	0
american	0	1	0
sifar	0	1	0
sid	0	1	0
triangolo	0	1	0
stalinisti	0	1	2
democratici	0	1	5
socialisti	9	8	13
patron	1	2	8
pcus	0	5	0
imputato	1	3	0
colleghe	2	2	4
orientale	0	1	0
parroco	3	2	12
residenza	4	4	10
tenuta	1	3	2
est	0	3	4
ovest	0	2	0
persone	0	1	1
trader	0	1	0
jugoslavia	138	531	36
tassista	0	2	1
economista	0	1	4
urss	20	390	101
unione	18	77	149
repubbliche	10	36	46
indesit	0	2	0
paesi	0	15	13
convivente	1	2	1
pensiero	0	1	0
comandanti	1	3	3
ideologie	0	3	0
autista	2	2	5
amica	8	3	16
inquilini	0	2	1
berlusconi	0	1	0
fiera	0	1	4
repubblica	5	22	72
casa	12	2	18
protetti	0	2	0
leningrado	0	7	0
paese	0	4	12
asia	0	1	0
sovietiche	1	6	0
professionista	0	1	12
confini	0	3	0
salvatore	0	1	0
sovietico	3	3	0
armata	0	32	0
criminale	2	1	0
pc	0	2	3
emigranti	0	1	6
uil	0	1	0
sovietica	0	7	0
rivali	0	5	1
vescovo	2	1	4
colonizzatore	0	1	4
truppe	1	5	0
cattedra	0	1	6
finale	0	1	0
forze	0	2	3
patto	0	6	7
ergastolano	0	3	1
esercito	1	7	7
tempio	2	1	1
prigioniera	0	1	1
capufficio	0	1	1
organo	0	11	0
fornaio	0	3	0
mobil	0	1	0
deputati	4	9	21
parlamento	0	12	0
terre	1	1	0
kgb	1	82	5
prospettiva	0	2	0
burocrati	0	5	0
testa	0	2	0
vicepremier	0	3	1
raider	0	1	0
gigante	0	1	3
fedit	0	1	0
asst	0	4	1
vittime	0	1	3
contadino	0	4	0
sovietici	3	3	4
magistrati	1	3	9
partiti	0	3	1
polizia	0	1	1
aguzzini	1	1	0
area	4	2	21
nemica	0	1	0
eni	0	2	1
monarca	1	1	1
istruttore	2	3	0
capolavoro	0	1	0
articolo	0	4	14
stati	2	4	12
bandito	1	1	1
azionisti	3	3	4
malato	0	1	4
tennista	3	9	0
james	0	2	0
appartamento	2	2	1
macchina	0	1	5
partecipazioni	0	2	2
managers	0	1	0
maestro	13	4	16
zar	4	1	2
mafioso	0	1	2
enti	1	5	4
monaco	2	3	7
pantera	0	3	0
jugoslavi	1	4	4
rapinatore	0	1	3
repubblichino	0	1	5
planetario	0	1	1
viola	1	1	9
gentleman	0	1	0
arbitro	3	2	13
carabiniere	0	5	9
cattivo	0	1	0
despoti	0	1	0
ballerine	0	2	0
ballerini	0	1	1
craxiani	1	1	12
complice	3	1	2
portaborse	0	3	1
sovrana	0	2	2
calciatori	7	2	20
festa	0	1	0
yugoslavia	4	7	164
immigrati	2	1	3
elettori	1	3	3
qualcosa	0	1	0
toro	0	1	0
imperi	1	1	2
specialisti	0	1	0
sinistra	0	4	5
cecoslovacchia	2	5	1
circolo	0	1	2
miniera	1	2	4
marxisti	0	1	0
quotidiano	1	1	0
nuova	3	1	0
franchisti	0	4	0
yemen	0	1	0
elfo	0	1	0
psi	7	4	9
rettore	2	2	9
agenzia	0	1	0
braccianti	0	1	0
referente	0	1	0
carceri	0	2	6
conventi	3	1	2
forte	0	1	1
censori	0	1	0
ferruzzi	0	2	0
efim	0	7	0
orfano	0	1	1
milan	0	1	0
potere	0	1	1
colonello	1	1	0
romeno	0	1	0
proprietaria	0	1	9
intellettuali	0	1	0
astronauti	2	2	0
contras	0	2	0
aggressori	0	1	0
controllori	0	1	0
residenti	1	1	2
selvaggio	0	1	0
nomenklatura	0	3	1
statista	0	1	0
diplomatici	0	1	3
dalle	0	1	0
potenza	2	3	13
conduttore	1	2	2
monopolio	1	5	2
pubblica	0	1	0
tesoriere	2	5	2
punk	0	2	0
dark	0	1	0
miracolo	0	2	0
ville	0	2	1
adoratori	0	1	0
superiori	0	1	0
imam	0	1	3
sacerdote	6	4	11
soviet	0	1	0
congresso	0	1	0
dracula	0	1	0
fis	0	6	1
gil	1	1	4
accademia	0	1	0
milano	0	1	0
primatista	1	1	7
azienda	1	3	6
montanelli	0	1	0
belligeranti	0	4	0
vip	0	2	2
stupratore	0	1	0
democristiani	3	9	59
ambulatorio	0	1	1
linea	0	1	0
medico	2	3	9
drago	0	1	0
danzatrice	0	1	1
iri	0	3	0
colonizzatori	2	3	7
rover	0	1	0
suoceri	0	1	1
comunismo	0	4	0
radicale	0	2	0
governo	1	2	6
garage	1	1	3
parcheggio	0	1	0
giardinetti	0	1	0
boulevard	0	1	0
circo	0	1	0
khmer	0	2	0
jugoslava	3	2	5
ginnasio	0	1	0
vetreria	1	1	7
prigione	1	1	2
operaia	0	2	2
pininfarina	0	2	0
impiegata	0	22	0
pescatore	1	1	7
gregario	0	1	0
cosmonauta	0	1	0
samurai	1	1	4
suocero	2	1	5
sinistri	0	1	0
protettori	0	1	0
adulti	0	1	0
beat	1	1	0
maestri	0	2	1
parte	0	1	0
leghista	1	5	5
regnanti	0	1	1
giganti	0	1	0
psicologo	1	1	2
hippy	0	1	2
alcolizzato	3	1	3
staffetta	0	1	0
stamperia	0	2	1
art	0	1	65
alcolisti	1	1	7
eccellenza	0	2	1
protetto	0	1	3
sme	0	1	0
fedele	0	1	1
bullo	0	1	0
grattacielo	0	1	0
punta	0	1	0
tossicodipendente	2	1	9
ultras	0	2	2
democristiano	1	1	18
vigile	0	1	1
samp	0	1	0
artigiano	0	1	0
minoranza	0	1	0
alpini	3	2	1
hammer	0	1	0
giovanotti	0	1	3
coloniale	0	1	0
creatura	0	1	2
iugoslavia	8	5	97
fondatrice	0	1	0
tossico	1	2	2
saigon	0	2	3
vittima	2	1	3
daf	0	2	0
dama	0	1	1
gepi	0	4	0
oppositore	0	1	0
possessori	0	2	2
pompiere	1	1	5
insegnanti	1	1	9
ideologo	0	2	2
fondatore	1	2	2
batman	0	1	0
ricchi	0	1	2
commilitone	11	1	3
liverpool	0	1	0
mattatoio	1	3	54
sipra	0	1	0
carrozzone	0	1	0
tube	0	1	0
accordi	0	1	1
coreografo	0	1	2
pm	1	7	11
hippie	0	1	1
bracconiere	0	1	0
nco	0	1	0
amato	0	1	3
gorilla	0	2	0
stagista	0	4	5
take	1	3	10
dicastero	0	1	0
quartiere	2	1	5
padiglione	2	1	0
deputata	0	1	4
nirvana	0	2	0
fidanzate	0	2	4
idolo	1	1	3
stalingrado	1	6	1
discoteca	0	1	0
lettori	1	1	13
consorte	6	1	3
confratello	0	1	2
bosnia	0	1	0
organizzazione	1	1	4
statali	0	1	4
petit	0	1	0
assistenti	0	1	2
ospedali	0	1	17
pazienti	1	1	10
pacifisti	0	1	5
pianeta	0	1	0
viceministro	0	2	2
primi	0	1	0
onorevoli	0	1	2
programma	0	2	0
reduce	0	1	0
interista	2	1	7
venditori	0	2	0
presentatori	2	1	0
europa	0	1	0
talking	0	1	1
ribelle	0	1	0
collaboratrici	0	1	0
specialista	0	2	1
supermercato	0	1	2
figlio	0	1	2
patrigno	0	1	0
lumbard	0	1	0
liberali	2	2	4
espressionismo	0	1	0
arsenale	2	1	8
ferrari	2	2	0
cittadella	0	1	2
trentenne	0	1	0
torero	0	1	1
top	1	4	0
capitali	0	1	3
ragionieri	0	1	0
msi	1	1	5
banchieri	0	1	4
agricoltori	0	2	1
politici	1	1	2
paracadutista	1	3	7
corista	1	1	0
rifugio	0	1	0
innamorato	0	1	1
scout	1	1	0
comizio	0	1	0
fumatrice	1	1	6
amore	2	1	8
stabilimento	12	1	8
coalizione	2	1	0
school	0	1	0
confine	0	2	3
parà	0	4	0
usl	0	1	6
stratega	0	1	0
senatori	3	1	2
mafiosi	0	1	0
domestici	1	1	1
mediano	0	1	0
voce	3	1	8
granduca	2	1	1
c	0	1	0
spettatore	0	1	0
sposo	0	1	0
black	1	2	0
primo	3	1	0
cardinale	0	1	1
ciga	0	3	0
maga	0	3	0
olivetti	1	3	1
confindustria	0	1	0
principi	2	1	0
romanziere	0	1	0
futurista	0	1	0
vergini	0	1	0
dissidenti	0	3	0
chierichetto	0	2	1
parenti	0	1	0
eurythmics	0	1	3
pavesi	0	1	0
vincitori	0	1	1
italsider	2	1	5
étoile	0	1	0
zaire	1	5	0
postino	1	1	1
telecom	0	3	0
fiamma	9	1	14
mamma	0	1	0
faces	0	1	0
craxiano	0	1	4
colonna	1	1	0
precettore	0	1	0
cattedrale	1	2	9
mimo	0	1	0
anoressica	0	1	4
leninisti	0	1	0
tigri	0	5	0
magazzino	3	1	11
fascia	0	1	0
boiardi	0	1	1
cesis	0	1	0
terzo	1	1	2
motorizzazione	0	1	3
monopolista	4	8	68
isefi	0	28	0
coordinatore	2	1	3
musei	0	1	0
bin	0	6	0
mostri	0	1	0
casello	0	1	0
esclusi	0	1	0
disney	0	3	0
lancia	0	1	0
sea	0	1	0
pugili	0	1	6
prodigio	0	1	0
balilla	0	1	0
banche	0	2	1
secessionisti	0	1	0
consorzio	1	1	1
concessione	0	1	0
monopoli	0	6	10
rottame	0	1	0
case	2	2	5
bambinaia	0	1	0
juve	0	1	1
hotel	1	1	9
ristorante	0	1	1
guru	0	1	0
consulente	1	4	12
bombarolo	0	1	0
juventino	1	1	5
pescatori	0	1	1
ante	3	1	16
tycoon	0	1	0
posizioni	0	1	0
piantagione	0	1	3
personaggio	1	1	0
masseria	0	1	0
pidiessini	0	1	1
ente	0	1	2
infedeli	0	1	0
picconatore	0	1	0
an	1	1	0
tiranni	0	1	0
monopolisti	0	4	18
bankitalia	0	1	0
capannone	0	1	3
portinaio	0	1	0
regine	0	1	0
factor	1	1	0
orchestra	0	1	1
gruppi	1	1	12
editor	0	1	4
guerrigliero	0	1	4
sip	1	1	2
corte	0	1	0
nucleo	0	1	0
federconsorzi	0	1	0
ulivo	0	1	3
datori	1	1	5
repubblicani	4	1	4
gemina	0	1	0
cariplo	0	1	0
oppositori	0	1	4
maturità	0	1	2
cantieri	0	1	0
spogliarellista	1	1	1
zone	0	2	5
lui	0	1	0
lei	0	1	0
redazione	0	1	2
socialismo	0	1	1
omnitel	0	2	0
granaio	0	1	2
monaci	0	1	0
spice	0	1	22
tifosi	4	1	9
massaggiatore	0	1	3
russo	0	1	0
valletta	0	1	0
selm	0	1	0
nestlè	0	1	0
baby	0	1	1
sosia	0	1	0
forza	1	1	0
recluso	0	1	1
russi	0	1	3
campana	0	1	0
tfr	0	1	0
grandi	0	1	0
secolo	0	1	0
critico	0	1	2
campi	0	1	33
monty	0	1	3
steward	0	1	0
star	4	1	5
sosta	0	1	0
signore	0	1	12
famiglia	0	1	6
attori	0	1	2
boom	0	1	0
albergatore	0	1	3
movimento	0	1	7
cittadino	0	1	1
papa	3	1	3
traghettatore	0	1	0
magnesio	1	0	0
sanatorio	2	0	1
settore	1	0	2
proibizionismo	1	0	0
prodotto	1	0	0
agonisti	1	0	0
scienziata	2	0	0
pretore	1	0	1
famiglie	2	0	1
canonica	1	0	2
mutanti	3	0	0
ammasso	1	0	0
province	5	0	1
fs	4	0	0
williams	1	0	0
benetton	1	0	0
deportato	2	0	10
ducato	3	0	3
seconda	2	0	0
gerarchi	3	0	3
pontefice	4	0	1
fornace	1	0	11
supervisore	1	0	0
territorio	3	0	2
numeri	1	0	0
servi	1	0	3
professionisti	4	0	11
abitanti	4	0	4
statale	5	0	2
vigna	1	0	0
oratorio	9	0	5
principato	1	0	1
strada	3	0	8
scuole	5	0	17
allieve	2	0	3
frazione	6	0	0
minatori	5	0	4
margherita	3	0	1
filanda	4	0	2
collegio	13	0	9
fiamme	2	0	2
cognato	4	0	1
superstar	1	0	0
goleador	2	0	0
timoniere	1	0	0
rivoluzionario	1	0	0
pds	2	0	0
stadio	3	0	1
manicomio	3	0	5
coppa	2	0	7
redattori	1	0	1
sezioni	1	0	3
primato	1	0	0
tastierista	9	0	1
jaguar	1	0	0
commodore	1	0	0
diritti	1	0	0
olp	1	0	0
pagani	1	0	3
gay	64	0	1
psicologa	1	0	0
or	3	0	0
nor	2	0	0
alfieri	1	0	0
guns	6	0	2
isole	2	0	1
buffone	1	0	0
territori	7	0	3
liguria	1	0	0
bandiera	3	0	2
lega	1	0	0
dominante	1	0	0
frontman	13	0	5
avventurieri	1	0	1
avventuriero	2	0	0
comune	28	0	1
flame	1	0	0
raggio	3	0	0
musicisti	3	0	0
bassista	23	0	23
consoli	6	0	3
rko	1	0	0
moderatore	1	0	0
democrazia	1	0	4
dormitorio	2	0	0
aree	3	0	4
socialdemocratici	3	0	0
federalisti	1	0	0
business	1	0	0
grigi	1	0	0
decreto	1	0	7
esule	1	0	0
casinò	1	0	6
mentore	11	0	1
qualunquisti	1	0	0
foro	1	0	0
upim	2	0	2
nba	3	0	0
stalle	3	0	1
aviatore	1	0	2
girlfriend	12	0	1
alunna	4	0	7
doge	3	0	7
romanista	1	0	4
costruttore	1	0	0
band	5	0	6
galeotti	2	0	4
umanisti	2	0	0
governanti	2	0	3
asso	1	0	1
sisley	1	0	0
patriarca	1	0	0
titolari	1	0	4
batterista	57	0	20
