NOUN	WIKICONLL	REPUBBLICA	ITWAC
affondamento	1	1	0
pericolo	0	1	0
successo	0	1	2
scala	0	1	1
presidenzialista	0	3	0
rottura	0	4	0
liberalizzazione	0	1	0
stranieri	0	1	0
colonia	0	1	2
bocciatura	0	1	1
professione	0	2	1
ottimisti	0	1	0
anonimato	0	2	5
prigioniera	0	1	0
cittadini	1	1	0
naufragio	0	2	0
paradiso	0	1	0
disastro	0	2	0
indipendente	8	1	0
rivoluzione	0	3	1
esoneri	0	1	17
città	0	1	0
pace	0	1	0
congresso	0	1	0
professionismo	4	2	3
morti	0	1	3
vivi	0	1	0
complicità	0	2	0
guerra	0	1	0
vittoria	0	2	4
veti	0	1	0
storica	0	2	0
oscuramento	0	1	1
leader	0	1	0
autobiografia	3	2	2
farsa	0	1	0
certezza	0	1	0
golpe	0	4	0
boss	0	1	1
immagini	0	2	1
plebiscito	0	1	0
illegalità	0	1	7
lusso	0	2	0
dio	17	4	28
permanenti	4	7	0
dèi	0	1	5
conferma	0	1	0
aziendale	0	1	0
debuttante	0	1	3
porno	0	1	1
papera	0	1	0
collisione	0	2	3
nuova	0	1	0
silenzio	0	1	1
controllo	0	2	0
ghetto	0	1	0
disimpegno	0	1	0
standard	3	1	1
verifica	0	1	1
monopolista	0	1	1
catastrofe	0	1	0
spogliarello	0	1	1
imputabilità	0	1	7
schiavitù	8	2	0
estasi	0	1	3
smentita	0	2	0
colpo	0	1	0
vergine	0	1	0
fisso	0	2	0
delirio	0	1	2
vendita	0	1	0
rovesciata	1	1	3
ufficiale	3	1	1
cancellazione	0	1	0
accordi	0	1	0
apertura	0	1	1
residenze	0	1	0
impunità	0	2	3
dittatore	0	1	0
neutralità	0	1	0
blocco	0	1	2
solitudine	0	1	0
opposizione	0	2	1
nudità	1	2	2
polemiche	0	1	0
democrazie	0	1	3
pensionamento	2	1	0
tregua	0	1	0
ribaltone	0	1	3
professionali	0	1	0
lupo	0	1	0
ulivo	0	1	0
ostruzionismo	0	1	0
aventino	0	1	0
precari	0	1	0
miseria	0	1	2
pubblico	0	1	0
riposo	0	1	2
monopolisti	0	1	0
garantista	0	1	0
vuoti	0	2	1
conversione	0	2	0
decapitazione	0	1	0
presidente	0	3	0
bossi	0	1	0
contrazione	0	1	0
spettatore	0	1	0
dittatura	0	1	2
intesa	0	1	0
repubblica	0	1	2
senato	0	1	0
maggioritario	0	1	1
regali	0	1	0
tec	0	1	0
credenti	0	1	0
miracolo	0	2	2
coincidenza	0	1	0
dimissioni	0	1	1
classica	0	1	0
remake	0	1	2
trotzkisti	0	3	0
cabriolet	0	1	0
erezione	0	1	0
insuccesso	2	1	1
perdono	0	1	1
immortalità	0	1	2
pentito	0	1	0
rap	0	1	3
rissa	1	1	1
affidamento	0	1	1
stati	0	2	0
rivolta	0	1	3
familiare	0	1	0
techno	0	1	0
ex	0	1	0
protettorato	0	1	1
professionalizzazione	0	1	0
ponte	0	1	1
coscienza	5	2	12
esclusiva	0	1	2
alcolismo	0	1	0
alcolizzato	0	1	1
cieco	0	1	1
fortuna	0	1	0
investimento	0	1	1
reazioni	1	0	2
cascata	2	0	0
hollow	9	0	1
interpretazione	1	0	1
intero	17	0	0
anello	2	0	8
automatic	5	0	0
distanza	1	0	1
cantone	3	0	2
industrial	1	0	0
finali	4	0	9
finale	32	0	16
tirannia	1	0	0
prigionia	3	0	3
active	6	0	0
stage	1	0	11
circolare	2	0	3
equivalenza	3	0	0
specchio	1	0	0
mossa	1	0	1
esordiente	1	0	7
asse	2	0	2
quadri	1	0	5
ateismo	1	0	0
umano	1	0	0
vita	3	0	34
gallerie	3	0	0
leggendario	5	0	0
classiche	2	0	0
autostrade	10	0	2
ellisse	1	0	7
reo	2	0	0
conca	1	0	0
letargo	1	0	1
ionizzazione	2	0	0
stupore	1	0	0
unità	1	0	0
benedizione	1	0	0
sonori	1	0	0
ariani	6	0	0
povertà	1	0	2
opera	1	0	7
acustica	3	0	2
colonne	4	0	2
cantoni	4	0	0
integrale	1	0	2
ballad	2	0	2
veglia	1	0	1
popolarità	1	0	0
domestico	1	0	0
pilota	1	0	1
divulgazione	1	0	0
tappe	2	0	4
colonna	1	0	0
norma	4	0	0
norme	1	0	0
reati	1	0	0
rappresentanza	1	0	0
cecità	1	0	4
continente	1	0	0
diavolo	1	0	0
liquido	2	0	2
aperta	1	0	0
dotta	1	0	0
incontro	1	0	0
rilassamento	1	0	0
legali	1	0	0
morte	3	0	4
pergamena	1	0	0
specie	2	0	0
sovranità	1	0	1
distruzione	3	0	0
restaurazione	2	0	0
impiccagione	1	0	0
alfabetizzazione	1	0	1
pensione	3	0	0
acustiche	2	0	0
danese	1	0	0
prototipo	1	0	0
reazione	1	0	0
cupole	2	0	3
ammiraglia	1	0	0
scocca	1	0	0
dragone	1	0	0
parodia	2	0	1
tappa	2	0	3
decisione	1	0	0
ballata	2	0	1
mongola	1	0	0
cc	1	0	0
autostrada	8	0	1
dipendente	1	0	0
nomadismo	1	0	3
nomade	2	0	0
luminosità	1	0	0
selvaggio	2	0	1
sudditanza	2	0	0
assolutismo	1	0	0
asso	2	0	0
legalità	1	0	3
membro	2	0	0
lampo	3	0	0
jazz	1	0	0
underground	1	0	0
barbie	1	0	0
realtà	1	0	6
trasparenza	1	0	5
circonferenza	1	0	1
contact	10	0	2
devils	2	0	0
passaggio	1	0	1
volontario	1	0	0
cerchio	4	0	6
inedito	1	0	2
testate	2	0	0
pilastri	1	0	2
omonimo	1	0	1
finalista	1	0	1
umani	1	0	0
spot	1	0	5
western	1	0	0
accordo	1	0	2
statale	1	0	0
centrali	1	0	0
strutture	1	0	0
struttura	1	0	0
deserti	2	0	1
acoustic	1	0	0
inattività	2	0	1
bizantino	1	0	0
anelli	1	0	1
sfera	2	0	0
carena	1	0	0
cilindro	1	0	1
ufficialità	1	0	3
vampiro	1	0	0
monde	1	0	0
ufficiali	1	0	0
angolo	1	0	8
compagnie	1	0	0
orgia	1	0	0
torpore	1	0	0
slava	2	0	0
reale	1	0	0
stagioni	1	0	1
alpini	1	0	0
vegetariani	1	0	0
ombra	2	0	1
stazione	1	0	0
mappamondo	1	0	0
porta	1	0	0
custom	1	0	7
finalisti	3	0	3
cattività	1	0	5
indipendenti	1	0	0
fusoliera	1	0	0
episodi	1	0	0
casual	1	0	0
flop	1	0	4
lavorazione	1	0	0
umido	1	0	0
acquisizione	1	0	0
auto	2	0	5
periodi	1	0	0
suite	1	0	0
uomini	1	0	2
rettili	1	0	0
autonomi	1	0	1
fidanzata	1	0	0
sans	2	0	0
secco	1	0	0
digiuno	1	0	3
pubblica	2	0	0
intelligenti	1	0	1
diretto	1	0	0
metalli	1	0	1
metallo	1	0	0
divina	1	0	0
major	0	0	1
clown	0	0	5
maturità	0	0	1
clandestini	0	0	7
opachi	0	0	1
sorriso	0	0	1
demente	0	0	1
caricature	0	0	1
totalità	0	0	2
ampiezza	0	0	1
bionda	0	0	2
artista	0	0	2
agiografia	0	0	1
borghesia	0	0	1
cittadino	0	0	1
rimorchio	0	0	8
eccitazione	0	0	3
dettaglio	0	0	4
pendolare	0	0	1
ambasciatore	0	0	5
idoli	0	0	2
bambina	0	0	1
latitanza	0	0	2
flat	0	0	3
alleati	0	0	1
flame	0	0	1
principianti	0	0	6
thriller	0	0	3
professioniste	0	0	2
residenza	0	0	2
secchi	0	0	1
patriarcato	0	0	1
convitto	0	0	6
schiavismo	0	0	1
animazione	0	0	2
serio	0	0	3
pacifista	0	0	5
cottura	0	0	2
rivoluzionari	0	0	1
rifacimento	0	0	1
professioni	0	0	3
autismo	0	0	1
annuncio	0	0	2
sobrietà	0	0	3
angeli	0	0	1
racconti	0	0	4
storie	0	0	1
global	0	0	1
programmatori	0	0	1
segreto	0	0	1
fiasco	0	0	2
immaginario	0	0	2
passi	0	0	4
operas	0	0	9
metallaro	0	0	1
fantasma	0	0	4
horror	0	0	2
gancio	0	0	3
artisti	0	0	1
invisibilità	0	0	3
cupola	0	0	1
discorso	0	0	2
mondi	0	0	2
estremista	0	0	1
centralizzazione	0	0	1
sommergibile	0	0	4
cameo	0	0	1
proibizionismo	0	0	1
attività	0	0	1
eccezione	0	0	2
pellegrinaggio	0	0	2
modernismo	0	0	4
sistema	0	0	1
ot	0	0	3
convitti	0	0	3
minaccia	0	0	1
improvvisazione	0	0	1
piastra	0	0	2
nazi	0	0	1
coke	0	0	1
centristi	0	0	1
rilievo	0	0	1
spettro	0	0	1
profano	0	0	4
protezione	0	0	7
elettronica	0	0	5
visibilità	0	0	1
immobili	0	0	5
colon	0	0	8
gratuità	0	0	2
ignoranza	0	0	2
materiale	0	0	1
neofita	0	0	3
intervista	0	0	1
ballate	0	0	3
titolo	0	0	1
intelligenza	0	0	2
capolavoro	0	0	2
paresi	0	0	8
apo	0	0	1
fiori	0	0	3
separazione	0	0	1
assi	0	0	3
ubriaco	0	0	5
ricchi	0	0	2
rotta	0	0	1
casta	0	0	1
allerta	0	0	2
latenza	0	0	1
luna	0	0	2
sanatoria	0	0	3
smentite	0	0	1
tridente	0	0	2
vacanza	0	0	2
imbroglio	0	0	1
classici	0	0	3
nari	0	0	1
pollice	0	0	1
pasta	0	0	1
barbarie	0	0	2
parlamentarismo	0	0	4
sparizione	0	0	2
lontananza	0	0	1
marxismo	0	0	1
proprietari	0	0	1
dubbio	0	0	1
assemblea	0	0	1
odio	0	0	1
schiavo	0	0	1
sussistenza	0	0	3
adulto	0	0	2
uova	0	0	1
totale	0	0	1
nota	0	0	1
alieni	0	0	1
dittature	0	0	1
santità	0	0	2
periferie	0	0	3
porte	0	0	1
profeti	0	0	1
rock	0	0	1
cadavere	0	0	2
fondamentalismo	0	0	1
sconfitta	0	0	3
sceneggiatura	0	0	1
assenza	0	0	2
topic	0	0	1
irregolarità	0	0	1
barboni	0	0	1
occupazione	0	0	2
cavità	0	0	2
campeggio	0	0	1
fascista	0	0	1
ballads	0	0	1
demenza	0	0	1
final	0	0	1
orgasmo	0	0	1
statali	0	0	1
mat	0	0	1
mercato	0	0	2
ebbrezza	0	0	2
delusione	0	0	3
onnipotenza	0	0	2
capi	0	0	4
spoiler	0	0	2
prof	0	0	1
talismano	0	0	1
vacanze	0	0	5
innocenti	0	0	1
protagonisti	0	0	1
trans	0	0	1
mafioso	0	0	3
carneade	0	0	2
dea	0	0	4
mito	0	0	1
internato	0	0	3
marketing	0	0	2
crossover	0	0	1
obesi	0	0	1
credenza	0	0	1
credenze	0	0	1
mosse	0	0	3
playback	0	0	1
residenzialità	0	0	6
verdi	0	0	2
reality	0	0	2
scoop	0	0	2
collegamento	0	0	2
regia	0	0	1
difficoltà	0	0	2
razionalità	0	0	1
semiologo	0	0	1
difetto	0	0	1
pagani	0	0	3
fusione	0	0	2
spirale	0	0	3
elementi	0	0	2
pile	0	0	1
pera	0	0	1
capo	0	0	1
volatili	0	0	2
serial	0	0	1
modelli	0	0	4
apoteosi	0	0	1
lucidità	0	0	1
corsivo	0	0	4
incasso	0	0	1
carriera	0	0	2
classico	0	0	1
sonno	0	0	1
isolanti	0	0	3
set	0	0	1
secessione	0	0	2
tenuta	0	0	1
barriera	0	0	1
preghiera	0	0	1
clone	0	0	1
inconscio	0	0	2
clonazione	0	0	1
disperazione	0	0	2
angelo	0	0	1
incubo	0	0	1
volta	0	0	1
distacco	0	0	2
pausa	0	0	1
religione	0	0	1
topless	0	0	1
cultura	0	0	1
demone	0	0	2
conduttore	0	0	1
diametro	0	0	1
influenza	0	0	1
telaio	0	0	1
residenti	0	0	15
quotidiano	0	0	3
attacco	0	0	1
campo	0	0	4
parassita	0	0	1
inclusione	0	0	1
latitanti	0	0	1
piano	0	0	6
accelerazione	0	0	2
alieno	0	0	1
fluido	0	0	1
persiana	0	0	1
trappola	0	0	1
gruppo	0	0	1
destra	0	0	1
ammissione	0	0	1
gel	0	0	3
dimensione	0	0	2
adolescenti	0	0	2
arco	0	0	2
accumulatori	0	0	1
falsetto	0	0	3
diploma	0	0	1
dipendenza	0	0	1
depressione	0	0	1
shock	0	0	1
comizi	0	0	1
giornalista	0	0	1
compromesso	0	0	1
solido	0	0	2
generazione	0	0	1
potenza	0	0	1
militarizzazione	0	0	3
carestia	0	0	1
portale	0	0	2
federalista	0	0	2
ictus	0	0	1
piani	0	0	1
relax	0	0	1
retribuzione	0	0	1
corona	0	0	1
serie	0	0	1
intossicazione	0	0	1
fotogrammi	0	0	11
campi	0	0	1
frame	0	0	1
fotogramma	0	0	1
comizio	0	0	1
paradosso	0	0	3
egiziana	0	0	1
simbolismo	0	0	2
volti	0	0	1
ambiguità	0	0	1
curve	0	0	1
ala	0	0	5
ali	0	0	1
vista	0	0	1
sperimentazione	0	0	1
loop	0	0	5
single	0	0	1
prova	0	0	1
proprietà	0	0	2
guscio	0	0	1
amatore	0	0	3
spazi	0	0	1
soppressione	0	0	1
manuale	0	0	1
periodo	0	0	1
pacifismo	0	0	1
bonifica	0	0	1
esordio	0	0	1
vestiti	0	0	1
alterazione	0	0	1
stop	0	0	1
reclusi	0	0	2
professional	0	0	2
personale	0	0	1
repubbliche	0	0	1
amateur	0	0	1
bellezza	0	0	1
toni	0	0	2
proletari	0	0	2
comico	0	0	1
cane	0	0	1
circle	0	0	1
urgenza	0	0	1
industrializzazione	0	0	1
inchiesta	0	0	1
pr	0	0	1
colonialismo	0	0	1
mondo	0	0	1
stress	0	0	1
isola	0	0	1
elettore	0	0	1
tragedia	0	0	2
vacanziero	0	0	1
concerto	0	0	1
fuoristrada	0	0	1
cristiani	0	0	1
immobilismo	0	0	2
ribellione	0	0	1
tempo	0	0	1
infarto	0	0	1
riproduzione	0	0	1
avventura	0	0	2
legale	0	0	1
engine	0	0	1
recitativo	0	0	1
socialismo	0	0	2
truffa	0	0	1
polpettone	0	0	2
full	0	0	1
rituale	0	0	1
filosofia	0	0	1
riforma	0	0	1
diagonale	0	0	1
giustizia	0	0	2
scalata	0	0	1
devil	0	0	1
tubo	0	0	1
consistenza	0	0	1
condono	0	0	1
stregoni	0	0	1
barriere	0	0	2
anoressiche	0	0	1
organizzazioni	0	0	1
piedi	0	0	2
maschera	0	0	1
forti	0	0	1
meccanici	0	0	1
parallelo	0	0	1
incapacità	0	0	1
eternità	0	0	1
direttive	0	0	1
storia	0	0	1
strip	0	0	1
sofista	0	0	3
partiti	0	0	1
rotazione	0	0	1
sciopero	0	0	1
donna	0	0	1
case	0	0	1
cessione	0	0	1
saturazione	0	0	1
pseudonimo	0	0	1
esclusività	0	0	1
colonie	0	0	1
weekend	0	0	1
esperienza	0	0	2
apologia	0	0	1
precariato	0	0	1
triangolo	0	0	1
razzismo	0	0	1
prequel	0	0	1
sospensione	0	0	2
aree	0	0	1
privacy	0	0	1
double	0	0	1
surrealismo	0	0	1
liberismo	0	0	1
noia	0	0	1
articolo	0	0	2
notizia	0	0	2
protagonista	0	0	1
decisionista	0	0	1
apartheid	0	0	1
zio	0	0	1
routine	0	0	1
hacker	0	0	1
lavoratori	0	0	2
portineria	0	0	1
tradimento	0	0	1
monopoli	0	0	2
oblio	0	0	1
aspettativa	0	0	1
accensione	0	0	1
brigata	0	0	1
classi	0	0	1
piramide	0	0	1
affido	0	0	1
emersione	0	0	1
resa	0	0	1
redazione	0	0	1
anoressia	0	0	1
sequel	0	0	1
dosi	0	0	1
leggenda	0	0	1
professionalità	0	0	1
populista	0	0	1
trasloco	0	0	1
micro	0	0	1
fregatura	0	0	2
opacità	0	0	1
millennio	0	0	1
smorfia	0	0	1
istituzione	0	0	1
gesso	0	0	1
