NOUN	WIKICONLL	REPUBBLICA	ITWAC
affiliati	0	1	0
picchiatori	0	1	0
procuratore	0	11	3
x	0	1	0
laureata	2	1	30
sperimentalismo	0	2	0
comitato	0	3	2
collateralismo	0	3	2
comunismo	0	11	9
comunista	0	10	0
sposi	7	3	21
romano	0	1	0
cristianesimo	0	1	7
magistrato	0	2	2
razzisti	0	1	0
acquisti	1	2	10
capitale	0	2	2
greco	1	1	1
segretaria	0	1	0
dada	9	3	5
protestante	0	1	0
ricchi	0	4	3
democratici	0	3	3
presidenza	0	2	3
militarista	0	1	0
comunisti	1	69	27
ideologizzazione	0	1	0
bianconero	0	2	1
sostituto	0	2	0
governatore	4	22	26
paradiso	0	1	1
yuppie	0	1	0
geo	5	1	0
proibizionismo	0	2	4
juventino	0	6	1
numero	0	1	1
futurismo	0	3	4
mostri	0	1	0
comunismi	0	1	0
horror	0	1	3
garantisti	0	3	0
vedovo	1	1	2
fondamentalismo	0	2	28
feticista	0	1	0
tokyo	8	2	2
miliardario	0	6	0
melò	0	1	0
cinismo	0	2	1
sacerdoti	1	3	3
nato	8	1	12
demagogia	0	1	0
romantici	0	2	2
partito	1	12	8
promossa	15	12	0
manierismo	1	1	2
regionalismo	0	2	7
giacobinismo	0	1	2
sovrintendente	0	5	6
sposo	0	2	5
presidenzialismo	0	4	0
arbitro	0	1	0
pci	0	2	0
pensionato	0	2	9
tycoon	0	1	0
ex	0	2	0
azzurro	0	2	0
giudice	0	2	0
cubista	0	1	0
musica	0	1	0
romanzi	0	1	0
dirigente	1	1	6
produttore	0	1	4
jugoslavia	0	9	0
jugoslavi	0	1	0
mamme	1	17	132
produttori	0	1	1
piano	0	1	0
cavalieri	0	4	4
provincia	3	1	3
porporati	0	10	1
ricercatori	0	2	0
diva	0	1	3
atalantino	0	1	0
chemical	0	2	0
bolscevico	0	1	0
ideologo	0	2	0
nazionalisti	0	5	1
cabaret	1	2	0
mondiale	0	1	0
movimento	1	3	2
borsisti	0	1	0
cultura	0	1	4
disoccupato	0	3	2
matricole	0	1	1
schieramenti	0	1	0
ecologisti	0	1	0
sim	0	1	0
rappresentanti	0	2	0
imprenditoria	0	2	7
ct	0	8	6
feudalesimo	0	3	4
onorevole	0	6	0
ferrarista	1	3	2
ingegnere	1	4	18
nazi	4	11	17
dipendente	0	1	1
bolscevichi	0	2	1
formazione	1	1	21
province	0	1	0
simbolismo	1	1	1
casting	0	1	0
favorito	0	1	0
regime	0	2	1
suocera	2	1	1
autoritario	0	1	0
commerciante	0	1	0
sposa	0	4	0
politico	0	6	0
iacocca	0	1	0
letterati	0	1	0
tribalismo	0	1	7
populista	0	1	11
boom	0	1	0
partners	0	1	0
adepti	0	2	5
neo	0	2	7
sostenitore	0	2	0
realtà	0	2	4
portavoce	0	9	0
paperone	0	1	0
direttori	1	8	3
oscurantismo	0	1	9
oppositore	0	1	0
campionessa	0	2	11
babilonese	1	1	1
coloni	0	1	0
medaglia	0	1	1
dirigenti	0	2	10
catechismo	0	1	0
verginità	0	1	0
lingua	0	3	20
dipendenti	0	1	2
bolscevismo	1	1	1
americano	0	1	0
mecenatismo	0	1	4
voyeurismo	0	2	0
reclute	0	1	0
pasolini	0	1	0
totalitarismo	0	1	4
vegetariano	0	1	0
metafisica	0	2	0
spa	0	3	0
cupola	0	1	0
folk	2	1	0
pauperismo	0	6	1
diplomatico	0	1	0
ottimismo	0	2	0
ambasciatrice	0	1	2
populismo	0	5	8
ministero	0	2	1
barocche	0	1	0
imperialismo	2	2	20
questore	0	6	1
hippie	1	4	0
orale	0	1	0
società	1	1	12
bianconeri	0	3	0
picconatore	0	1	0
socialdemocrazia	0	1	1
colombi	0	1	0
salvatore	0	1	1
napoli	0	1	0
codice	0	1	1
borghesi	0	3	2
radicali	0	1	2
femminismo	0	3	7
poveri	0	1	0
vescovo	5	1	8
vice	0	2	2
geometra	0	1	0
sobrietà	0	1	0
totem	0	1	0
popolari	0	1	0
proprietari	0	3	11
attrice	3	2	2
greca	0	1	0
germanico	0	1	0
galli	0	1	0
greci	0	2	0
vicedirettore	0	2	1
gelosia	0	1	0
commissaria	0	1	1
imputato	0	2	0
governanti	0	1	3
austerità	0	2	0
tassisti	0	2	0
povero	0	2	0
lottizzazione	0	3	1
pantera	0	1	0
spartizione	0	1	2
fondamentalisti	0	1	12
senatrice	0	1	2
festival	0	1	0
emigranti	0	2	0
secessionista	0	1	0
lumbard	0	1	0
cliente	0	1	1
investitori	0	4	0
dc	0	14	20
centristi	1	4	0
componente	0	2	1
centrista	0	2	0
coordinatore	0	1	15
zapatisti	0	1	1
economista	0	1	0
gran	0	1	0
solidarismo	0	1	0
sindaci	0	1	0
egoismo	0	2	0
materialista	0	1	0
imprenditori	0	11	96
consociativismo	0	10	7
garante	0	3	0
dicastero	0	1	0
padrino	0	1	0
specializzazioni	0	1	0
ideologie	0	2	0
mercante	0	1	0
assicurati	0	1	0
organizzazione	1	1	0
mobile	0	1	0
naif	0	1	0
presidentessa	0	2	1
detenuti	0	1	0
presidenti	0	5	2
clericali	0	1	0
materialismo	0	1	2
governatori	0	3	2
papà	1	10	37
natura	0	1	0
detenuto	0	1	0
sacerdote	0	1	2
filone	0	3	1
stati	0	1	2
nemico	0	3	0
potenti	0	2	0
re	2	1	0
acquirenti	0	1	2
socialismo	0	2	4
militari	0	1	0
timoniere	0	1	0
rock	0	1	3
federazione	1	2	3
futurista	0	1	0
stregoneria	0	2	6
squadristi	0	1	0
storicismo	0	1	0
associazione	0	1	5
celebrità	0	1	0
volgarità	0	5	0
templari	0	1	2
pagano	1	1	0
ortodossi	0	2	0
maoista	0	1	0
maoisti	0	2	2
scrittore	0	1	3
sub	0	1	0
missini	0	6	0
direttrice	0	3	2
hippy	1	2	5
pagani	4	1	7
speaker	0	4	0
automobilisti	0	2	0
bestie	0	1	0
cinema	0	1	0
alleato	1	2	1
docente	0	3	5
collaboratore	0	1	2
narciso	0	1	0
pretore	0	1	0
professore	0	8	5
partitocrazia	0	1	0
dandy	0	1	2
impresa	0	1	30
cantante	1	3	0
noir	2	3	25
msi	0	3	0
buddista	0	1	0
accademico	0	1	0
consulente	0	2	1
immigrati	0	2	5
classiche	0	1	0
mattina	0	1	0
proprietaria	1	1	0
produttrice	0	1	0
futuristi	0	1	3
avanguardisti	0	1	3
informatore	0	1	0
parole	0	1	0
genero	1	1	1
milanista	0	3	4
sindacalismo	1	1	1
pilota	0	2	2
privilegio	0	1	0
consorte	0	1	1
amore	0	1	0
divertimento	0	1	0
moderatismo	0	2	2
candidato	0	6	6
schiavo	0	1	1
figurazione	0	1	3
facoltà	0	2	0
radicalismo	0	1	1
comunitarismo	0	7	2
blue	0	1	0
liberiste	3	6	86
latino	2	1	0
mazzette	0	1	0
madri	1	1	20
padri	0	1	3
storico	0	1	0
titolo	0	1	0
forzisti	0	1	2
imprese	1	1	63
capogruppo	0	3	7
decalogo	0	1	0
americana	0	1	0
manierista	0	1	0
embrione	0	1	0
attore	1	4	5
nichilismo	0	1	1
underground	1	1	0
entusiasmo	0	1	0
garantismo	0	1	1
capi	0	1	2
responsabili	0	1	0
espressionista	0	1	0
genitori	1	6	69
suocero	0	2	0
concorrenti	0	1	0
coordinatori	0	1	2
sottoscrittori	0	1	0
ladro	0	1	1
architetto	0	1	4
operai	0	1	0
adulti	0	1	3
feuilleton	0	1	0
confucianesimo	6	1	2
collega	0	2	1
autonomi	0	6	0
drammaturgo	0	1	0
genio	0	1	0
degrado	0	1	0
frigo	0	1	0
sportivi	0	1	0
interventismo	0	1	0
suora	0	1	0
fan	0	1	2
welfare	0	1	1
matricola	0	2	0
realista	0	2	4
conduttore	1	1	3
maschi	0	2	0
melodia	0	1	0
compagno	0	1	6
mattei	0	1	0
bosnia	0	1	0
laburista	0	1	0
marxisti	4	1	0
costituenti	0	1	1
pensatore	0	1	0
alpinista	0	1	2
moderati	0	1	0
baronetto	0	2	0
diplomato	1	1	14
trotzkisti	0	1	0
fidanzata	0	2	4
soggetti	0	1	0
fantascienza	0	1	0
doppiatori	0	1	0
operatori	0	1	0
tomismo	0	1	12
intesa	0	1	0
stalinisti	0	1	0
storici	0	1	0
vocazione	0	1	0
editore	0	1	1
boiardi	0	1	0
teppismo	0	1	0
guerriglieri	0	1	0
ustascia	0	1	1
avvocato	0	1	1
genitore	1	1	1
fit	0	1	0
cancelliere	1	10	3
federalismo	0	1	3
brecht	0	1	0
preside	3	1	1
pivot	0	1	0
aggregazione	0	1	0
soci	0	1	3
western	0	1	0
agenzia	0	1	0
progressista	0	1	1
fanatici	0	1	0
occupati	0	2	0
concordato	0	1	2
fondazioni	0	1	0
keynesismo	0	1	4
colosso	0	2	1
alleata	0	1	0
innamorato	0	1	1
anarchici	0	1	0
conflitto	0	1	0
guerra	0	10	24
dirigismo	0	2	5
terrorismo	0	2	10
naturalismo	0	1	1
forzista	0	1	0
capitalisti	0	1	0
coordinatrice	0	1	2
fgci	0	1	0
miss	0	1	0
confesso	0	1	0
azzurri	0	1	3
brigatista	0	1	5
tecnost	0	1	0
storia	0	1	1
vescovi	0	1	0
clienti	0	1	0
dittatore	0	1	1
hackers	0	1	0
varietà	0	1	3
proporzionalisti	0	1	2
proporzionalismo	0	1	3
azienda	0	1	5
giacobino	0	1	0
nati	1	1	5
alfabetizzazione	0	1	1
statalismo	0	1	4
associazionismo	0	1	0
contadini	0	2	1
pasticcio	0	1	1
cineasta	0	1	2
apostolica	15	0	0
rivoluzionari	1	0	0
comportamentismo	2	0	3
distribuzione	1	0	0
scuderia	1	0	0
binario	3	0	2
promozione	1	0	0
ittiti	6	0	0
insegnante	2	0	3
municipio	1	0	0
latina	1	0	0
primo	2	0	0
coach	4	0	0
madame	1	0	0
maresciallo	1	0	0
latine	6	0	1
babilonesi	1	0	0
novecento	1	0	0
etrusco	1	0	0
cons	1	0	91
band	2	0	1
imperatore	5	0	7
formato	5	0	3
luddismo	2	0	7
console	1	0	3
repubblica	3	0	4
cristiani	21	0	1
sostenitori	1	0	1
alunna	1	0	0
califfo	3	0	0
aramaico	5	0	2
atlantide	4	0	0
indipendente	4	0	0
trantor	6	0	0
agricoltori	1	0	2
arabi	1	0	0
vincitore	2	0	4
prog	5	0	1
assiro	4	0	9
democristiani	3	0	10
immigrato	1	0	0
solista	1	0	0
sudditi	1	0	0
impressionista	1	0	0
glam	5	0	0
città	2	0	0
sposini	1	0	0
soul	4	0	9
druidismo	1	0	4
retrocesso	2	0	3
pragmatista	1	0	2
etichetta	3	0	2
rivale	1	0	0
patron	1	0	1
donna	1	0	1
batterista	1	0	0
zeon	7	0	0
membro	4	0	7
regina	11	0	0
iscritte	2	0	1
specie	1	0	0
romantic	1	0	0
thrash	1	0	0
guelfi	1	0	7
romanico	3	0	0
linguaggio	1	0	0
vertice	1	0	0
molecola	1	0	0
lottatore	2	0	0
ufficiali	1	0	0
colonialisti	1	0	2
queen	8	0	0
spaziali	2	0	0
attico	2	0	0
calcutta	1	0	0
masters	1	0	0
generale	1	0	0
classical	4	0	1
battezzati	1	0	9
tantra	3	0	0
latini	2	0	0
modernismo	2	0	3
namecc	6	0	0
duca	2	0	2
russo	1	0	0
team	1	0	0
colonizzazione	1	0	10
dadaista	1	0	13
pi	1	0	0
venezia	1	0	0
boss	1	0	0
controllore	1	0	1
fondato	2	0	0
nonni	1	0	1
finanziere	1	0	0
amico	1	0	1
sceriffo	1	0	1
vampiro	1	0	1
standard	1	0	0
razionalista	1	0	2
portiere	1	0	0
vulgata	1	0	0
surf	1	0	0
arrivato	5	0	0
valvola	1	0	0
dj	3	0	0
formosa	1	0	0
dem	2	0	0
squadra	1	0	2
tecnologie	1	0	5
vascolarizzazione	1	0	3
bassista	1	0	0
jaguar	1	0	0
significati	1	0	0
medici	1	0	1
papa	1	0	9
divorziata	2	0	0
coppia	2	0	11
quartetto	2	0	0
europa	1	0	0
europei	1	0	1
centrocampista	1	0	0
spazio	1	0	0
ebrei	1	0	0
tedeschi	2	0	0
orfano	1	0	0
duo	1	0	0
equilibrio	1	0	0
brigatisti	2	0	6
storicista	1	0	0
latin	1	0	0
minatore	1	0	0
egizio	1	0	0
partigiani	1	0	0
ingresso	1	0	1
mutante	1	0	0
japan	1	0	0
sixties	1	0	0
dadaismo	1	0	3
angiogenesi	1	0	4
governatorato	1	0	1
parrocchia	1	0	0
detentori	1	0	0
cimitero	1	0	0
ideologismo	2	0	0
pop	2	0	4
schiavismo	1	0	4
black	1	0	0
illuminista	1	0	2
poli	1	0	0
ateismo	2	0	0
mago	1	0	0
accademia	1	0	0
assiri	1	0	1
pontefice	1	0	3
ispettore	1	0	0
persiano	1	0	0
regno	1	0	0
compagnia	1	0	0
vedova	1	0	3
infermiera	1	0	0
versione	1	0	2
positivisti	1	0	21
messianismo	0	0	5
alunni	0	0	1
weekend	0	0	1
ulivista	0	0	2
repubblicani	0	0	4
giudaismo	0	0	1
beato	0	0	4
concorrenza	0	0	2
zar	0	0	2
costruttivismo	0	0	7
sassone	0	0	1
magic	0	0	1
volontaria	0	0	1
arcivescovo	0	0	10
operaismo	0	0	3
operaisti	0	0	2
star	0	0	5
assessori	0	0	6
maestri	0	0	2
orientalismo	0	0	5
coppie	0	0	2
generazione	0	0	1
retro	0	0	1
imprenditrice	0	0	5
padroni	0	0	3
veline	0	0	2
biotech	0	0	1
venditori	0	0	4
stile	0	0	2
assicurato	0	0	6
cuochi	0	0	2
culto	0	0	2
nazionalismi	0	0	2
genesis	0	0	3
avanguardista	0	0	4
assolutismo	0	0	8
animatrice	0	0	1
n	0	0	1
assunzione	0	0	2
positivismo	0	0	54
luddisti	0	0	13
giornalisti	0	0	2
bandito	0	0	4
razza	0	0	2
antropologo	0	0	1
cooperative	0	0	1
caratterista	0	0	1
artisti	0	0	2
agente	0	0	1
fondamentalista	0	0	13
geni	0	0	1
machiavelli	0	0	5
pacifisti	0	0	3
br	0	0	6
esecutivo	0	0	5
polar	0	0	3
ufologi	0	0	1
cellula	0	0	1
web	0	0	1
country	0	0	1
maggiorenne	0	0	15
mutazioni	0	0	1
coglioni	0	0	1
battezzato	0	0	5
blogger	0	0	2
attaccante	0	0	3
eleganza	0	0	2
superman	0	0	1
insegnanti	0	0	9
finanzieri	0	0	1
monetarista	0	0	3
utenti	0	0	4
azzurre	0	0	1
giolittismo	0	0	3
colonialista	0	0	2
jeans	0	0	1
ragazzo	0	0	1
analfabetismo	0	0	6
architetti	0	0	3
movimentista	0	0	2
tecnocrati	0	0	1
psi	0	0	1
programmatore	0	0	1
candidata	0	0	3
ecosistemi	0	0	1
spiritualismo	0	0	5
protagonismo	0	0	1
terroristi	0	0	1
globalizzazione	0	0	2
militarismo	0	0	8
incarico	0	0	1
peplum	0	0	2
baratto	0	0	4
cuoca	0	0	1
seguaci	0	0	1
faccia	0	0	1
forumisti	0	0	3
sviluppatore	0	0	2
sceneggiatore	0	0	1
costituzione	0	0	6
campi	0	0	1
esperto	0	0	6
conduttori	0	0	4
consumatore	0	0	3
biologismo	0	0	1
colleghi	0	0	1
lounge	0	0	3
penitente	0	0	1
single	0	0	8
astronauti	0	0	1
atleti	0	0	9
possessore	0	0	2
cordata	0	0	1
cittadini	0	0	6
adozioni	0	0	1
occidentalismo	0	0	1
corrente	0	0	1
imprenditorialità	0	0	5
formalismo	0	0	6
priore	0	0	1
sponsor	0	0	1
agostiniana	0	0	2
taliban	0	0	2
reclusi	0	0	2
abbonati	0	0	1
delegati	0	0	5
diacono	0	0	1
release	0	0	3
imprenditrici	0	0	18
barbarie	0	0	1
vincitori	0	0	3
giocatore	0	0	3
bisogni	0	0	3
campionesse	0	0	4
professional	0	0	3
atlantismo	0	0	2
commedia	0	0	1
compagna	0	0	12
americani	0	0	1
santo	0	0	8
forcella	0	0	1
togliattismo	0	0	2
idillio	0	0	1
adolescenti	0	0	2
civilizzazione	0	0	1
legionari	0	0	1
femminista	0	0	2
organismo	0	0	3
beni	0	0	1
prof	0	0	7
esoterismo	0	0	2
sviluppatori	0	0	1
docenti	0	0	8
proletari	0	0	4
forum	0	0	1
leninismo	0	0	1
allevatori	0	0	2
negozianti	0	0	1
mondo	0	0	1
scolaro	0	0	2
tradizionalismo	0	0	5
decisionista	0	0	1
commerce	0	0	1
cannoniere	0	0	1
lavoratori	0	0	5
socialdemocratici	0	0	1
principe	0	0	1
giansenismo	0	0	7
istituzioni	0	0	1
sovranità	0	0	1
aderenti	0	0	3
associati	0	0	3
liberalizzazione	0	0	2
monopolisti	0	0	1
economia	0	0	1
velina	0	0	1
vegetariani	0	0	1
commissari	0	0	6
birra	0	0	1
comunitari	0	0	10
livornese	0	0	1
ska	0	0	1
relatore	0	0	1
procuratori	0	0	2
disoccupati	0	0	1
fratello	0	0	2
accademici	0	0	2
aziende	0	0	5
lavoratore	0	0	6
capolavoro	0	0	1
amministrazione	0	0	2
patrioti	0	0	1
zio	0	0	1
forestazione	0	0	1
general	0	0	1
laziale	0	0	4
centenario	0	0	1
competitività	0	0	1
statalista	0	0	2
cervello	0	0	2
cittadina	0	0	2
progressisti	0	0	1
oggettività	0	0	3
repubbliche	0	0	2
apertura	0	0	2
eroe	0	0	3
naviganti	0	0	1
stilista	0	0	2
confessionalismo	0	0	6
manipolatori	0	0	1
diciottenni	0	0	2
costituzionalismo	0	0	1
semplicità	0	0	1
difensore	0	0	1
attendente	0	0	2
management	0	0	2
formati	0	0	6
proletariato	0	0	7
positivista	0	0	1
kantismo	0	0	3
codacons	0	0	6
membri	0	0	5
emittente	0	0	11
educatori	0	0	4
arrivo	0	0	2
gestore	0	0	2
comunità	0	0	1
umma	0	0	3
salutisti	0	0	3
martiri	0	0	3
cacciatori	0	0	4
residenti	0	0	2
naufraghi	0	0	1
creature	0	0	1
ambientaliste	0	0	1
gr	0	0	1
scrittrice	0	0	1
garage	0	0	2
studente	0	0	2
ministra	0	0	8
minoranza	0	0	1
disegno	0	0	1
sufi	0	0	2
monopolio	0	0	1
tecnologia	0	0	1
prop	0	0	2
decentramento	0	0	1
ingegneri	0	0	3
colonia	0	0	5
soldati	0	0	1
dio	0	0	1
bambini	0	0	3
trasgressione	0	0	1
titolari	0	0	3
capocannoniere	0	0	1
estetismo	0	0	2
antigeni	0	0	4
comuni	0	0	2
depresso	0	0	2
blog	0	0	3
biotecnologie	0	0	2
condono	0	0	1
avvoltoi	0	0	1
ragionieri	0	0	3
lib	0	0	2
commentatore	0	0	1
lolita	0	0	1
attivismo	0	0	1
paradigmi	0	0	1
gothic	0	0	2
decadentismo	0	0	2
politici	0	0	1
corteccia	0	0	8
impero	0	0	4
ricostruzione	0	0	2
famiglia	0	0	1
pianeta	0	0	1
vicepremier	0	0	4
scolastica	0	0	3
modernità	0	0	6
istituzionalizzazione	0	0	2
ricercatrice	0	0	1
pirati	0	0	2
criticismo	0	0	21
jazz	0	0	3
bibliotecari	0	0	1
prostitute	0	0	1
compositori	0	0	1
gigante	0	0	1
contratto	0	0	2
schiavista	0	0	1
estremismo	0	0	3
orfeo	0	0	1
point	0	0	1
partite	0	0	1
consumismo	0	0	1
mod	0	0	2
estetica	0	0	1
movimenti	0	0	1
moderatore	0	0	1
populisti	0	0	1
rossa	0	0	1
cattolici	0	0	3
viola	0	0	2
proporzionalista	0	0	4
computer	0	0	1
podestà	0	0	1
superpotenza	0	0	2
incursori	0	0	1
cattolicesimo	0	0	2
mussolini	0	0	1
palazzinaro	0	0	2
conservatrici	0	0	1
patriottismo	0	0	2
nemici	0	0	1
bomber	0	0	1
disco	0	0	1
parroco	0	0	2
staffordshire	0	0	1
esteta	0	0	1
cro	0	0	1
fondatori	0	0	1
aristotelismo	0	0	14
progetto	0	0	4
scuole	0	0	3
fordismo	0	0	1
senatori	0	0	1
protestanti	0	0	2
coscienza	0	0	1
umanismo	0	0	1
operatore	0	0	4
modelli	0	0	1
femministi	0	0	1
trentenne	0	0	1
struttura	0	0	6
conduttrice	0	0	1
post	0	0	2
violenze	0	0	1
scientismo	0	0	10
colonizzatori	0	0	1
tradizionalisti	0	0	3
utente	0	0	5
pastorale	0	0	1
motociclista	0	0	3
paesi	0	0	1
monarchie	0	0	1
fascismi	0	0	2
filologia	0	0	1
costituente	0	0	2
schiavi	0	0	2
appassionati	0	0	2
europeista	0	0	2
commercialista	0	0	1
operaista	0	0	15
berlusconiano	0	0	2
progettualità	0	0	1
cosmologia	0	0	1
disciplina	0	0	1
com	0	0	2
politologo	0	0	1
teocrazia	0	0	1
capitali	0	0	1
debuttante	0	0	1
potenza	0	0	1
condannato	0	0	1
blues	0	0	2
legge	0	0	6
visione	0	0	1
industrie	0	0	1
legamento	0	0	4
ammiraglia	0	0	1
assistenzialismo	0	0	1
faraone	0	0	1
industrializzazione	0	0	1
attica	0	0	1
ispettrici	0	0	1
ingressi	0	0	1
analfabeti	0	0	3
laici	0	0	1
monaci	0	0	1
master	0	0	2
regolamento	0	0	1
ragioniere	0	0	1
soubrette	0	0	2
scrittori	0	0	4
toscano	0	0	1
nonno	0	0	2
lingue	0	0	1
melodramma	0	0	1
linguista	0	0	1
antagonismo	0	0	1
sud	0	0	1
buddhismo	0	0	2
estremista	0	0	1
etnicità	0	0	1
spiritualità	0	0	1
organi	0	0	1
burocrazia	0	0	1
filosofia	0	0	1
testamento	0	0	1
induismo	0	0	3
istituto	0	0	1
pacifista	0	0	2
vicesegretario	0	0	1
fusion	0	0	1
epopea	0	0	1
sperimentazioni	0	0	1
vincitrice	0	0	2
antiamericanismo	0	0	1
musicista	0	0	1
patrono	0	0	2
sovrano	0	0	1
statalisti	0	0	1
mercato	0	0	2
ricercatore	0	0	1
federalista	0	0	1
istituzione	0	0	1
cannibalismo	0	0	1
dottorato	0	0	1
precariato	0	0	1
piemonte	0	0	1
mister	0	0	1
didattica	0	0	1
sogno	0	0	1
ostaggio	0	0	1
luoghi	0	0	1
