NOUN	WIKICONLL	ITWAC	REPUBBLICA
assunzione	0	4	1
svalutazione	0	0	4
moralizzazione	0	0	1
sisma	5	61	4
ceausescu	0	0	4
unificazione	0	4	1
incorporazione	0	0	1
brigatista	0	13	1
spettacolo	0	8	1
glasnost	0	2	1
tangenti	0	0	1
franchisti	0	1	1
classico	5	1	1
targhe	0	0	1
cristiana	0	0	2
lottizzazione	0	1	4
mani	0	1	3
sociologo	0	0	1
edonismo	0	0	1
dc	0	23	11
liberismo	0	1	1
jazz	0	3	1
secondari	0	10	5
classicismo	0	1	2
scissione	0	3	5
woody	0	0	1
beethoven	0	0	1
cinema	0	2	2
curzi	0	0	2
auschwitz	0	0	2
armistizio	0	2	2
dittatura	0	6	2
graduate	1	0	4
tv	0	1	1
attrazione	0	0	1
commedia	0	2	2
scudetto	2	4	2
benessere	0	3	1
terrestre	0	0	1
yuppies	0	3	3
psi	0	0	4
politica	0	9	3
menopausa	5	244	14
razza	0	0	2
aumento	0	4	9
craxi	0	0	1
elettorali	0	0	4
privatizzazione	0	3	11
tatò	1	0	1
parma	0	0	1
japan	0	0	1
repubblicani	0	0	1
darwinismo	0	2	1
iri	0	0	3
craxiano	0	1	1
muro	0	6	2
klan	0	0	1
edizione	0	0	1
hippy	0	1	3
gascoigne	0	0	1
berlusconi	0	0	1
martinazzoli	0	0	1
ricapitalizzazione	0	0	1
gravidanza	0	6	1
grunge	4	24	1
hippie	0	2	2
intervista	0	0	1
gol	0	1	1
decreto	0	1	2
futurismo	0	2	1
maradona	0	0	1
trade	0	0	1
pds	0	0	1
hiroshima	0	0	1
deregulation	0	1	1
venezia	0	0	1
missino	0	1	2
bulgaria	0	0	1
francia	0	0	1
croazia	0	0	1
ciarrapico	0	0	1
alluvione	0	43	4
missini	0	2	11
scritto	0	0	1
radicale	0	0	1
cold	1	0	2
dini	0	0	7
dimissioni	0	2	1
mogol	0	0	1
unitario	2	0	1
juventus	0	0	1
deng	0	0	3
combattimento	0	1	1
atlanta	0	0	1
adolescenti	0	6	3
colonialismo	3	50	2
rottura	0	4	1
dottorati	0	25	1
riformista	0	0	1
peronismo	0	0	2
guarino	0	0	1
acuti	0	13	1
gollista	0	0	3
colloquio	0	4	1
inattività	0	0	1
trauma	1	41	1
ppi	0	0	1
medioevale	0	0	1
infarto	7	51	6
democristiana	0	0	3
fascio	0	0	1
abbronzatura	0	0	1
produzioni	2	8	1
uno	0	0	1
padova	0	0	1
collocamento	0	1	1
liberali	0	0	1
bipolarismo	0	2	1
scolastiche	0	0	1
craxismo	0	1	1
espressionista	0	0	1
msi	0	0	1
dottorato	20	1179	6
fecondazione	0	0	1
bauhaus	0	1	1
mitterrand	0	0	1
illegalità	0	0	1
saddam	0	0	10
capitalista	0	0	1
slalom	0	0	1
flusso	0	0	1
socialiste	1	0	1
distensione	0	0	1
sanzioni	0	1	3
sovietici	1	0	1
andreotti	0	0	1
abete	0	0	1
fenice	0	0	1
elezione	0	4	1
ricchi	0	0	1
settantenni	0	0	1
cinquantenni	0	0	1
warhol	1	0	1
sionista	0	0	1
falcone	0	0	1
separatismo	0	1	1
simbolista	0	0	1
neorealismo	0	3	1
abbagnale	0	0	1
elisabetta	0	0	1
colonialista	0	0	1
olimpici	0	0	2
night	0	0	1
manovra	0	0	1
organici	0	0	1
vertice	0	2	2
lynch	0	0	1
proibizionismo	1	0	1
ripresa	0	0	1
strehler	0	0	3
sbronza	0	9	1
sacchi	0	0	1
craxiani	0	3	1
lotta	0	0	1
incentivi	0	0	3
sionisti	2	0	1
marketing	6	44	1
fordismo	3	130	4
mobutu	0	0	1
pay	0	0	3
infanzia	0	1	1
europei	0	0	1
bosman	0	0	1
salone	0	0	1
pranzo	1	12	2
corsi	0	0	1
elvis	0	0	1
sovietico	1	0	1
omicidio	0	1	1
gsm	0	0	1
diana	0	0	2
attentati	0	14	1
conciliazione	0	0	1
scarsità	1	2	1
montesano	0	0	1
formula	1	0	1
pensiero	0	6	2
sequestro	0	0	2
ungheria	0	0	1
risanamento	0	0	2
promozioni	0	0	1
evento	5	23	1
euro	0	55	4
tarantino	0	0	1
pidiessini	0	1	1
accordo	0	2	1
europa	0	0	1
zingara	0	0	1
repubblichini	0	0	1
sovietiche	0	0	2
pinochet	0	0	1
prada	0	0	1
bicamerale	0	0	1
card	0	0	1
maastricht	0	0	1
fazio	0	0	1
nazionalista	0	0	1
zeman	0	0	1
pescante	0	0	1
rottamazione	0	0	2
shoah	0	0	1
trash	0	0	1
zaino	0	0	1
mtv	0	0	1
compagno	0	0	1
pelliccia	0	0	1
azionismo	0	1	2
terzomondista	0	0	1
ulivo	0	0	3
anelka	0	0	1
ideologie	0	0	1
specializzazione	1	6	1
presidenziale	0	0	1
illusioni	0	0	1
metafisica	0	0	1
pagamento	0	36	5
ingerenza	0	0	1
sentenza	0	5	1
statali	0	0	1
sarno	0	0	1
garage	0	1	1
acquisizione	1	8	1
razionalismo	0	0	1
laici	0	0	2
baco	0	0	1
partito	0	6	1
magazine	1	0	1
razzista	0	0	1
adozione	3	74	1
festa	0	3	1
seattle	1	0	1
svezia	0	0	1
hardcore	87	10	0
conflitto	9	120	0
genocidio	1	6	0
transizione	5	5	0
sequenza	5	7	0
esposizione	22	85	0
nirvana	2	0	0
abba	3	0	0
bop	3	3	0
season	63	65	0
crisis	29	3	0
police	1	0	0
thrash	4	0	0
ibernazione	1	2	0
production	4	18	0
rem	2	0	0
incremento	1	7	0
cure	1	0	0
esecuzione	1	1	0
glaciazione	2	1	0
gabriel	1	0	0
ordine	2	0	0
orale	1	0	0
ora	20	0	0
black	6	0	0
luminescenza	2	5	0
trattamenti	2	5	0
zeppelin	3	0	0
tour	1	7	0
processo	1	8	0
gemelli	1	0	0
gazette	3	1	0
conquista	1	0	0
detection	1	0	0
picco	1	0	0
millennio	1	3	0
posizione	1	0	0
sionismo	6	3	0
nascita	1	3	0
trianon	1	0	0
agrario	1	0	0
battaglia	1	3	0
imperiali	1	0	0
processing	9	48	0
borghese	1	0	0
rc	1	0	0
death	2	0	0
psichedelia	1	0	0
priest	1	0	0
colonialisti	1	0	0
quotazione	3	1	0
scioglimento	3	1	0
successo	1	2	0
chirurgia	1	1	0
contratto	5	2	0
colonial	3	3	0
trasfusione	1	0	0
iniezione	1	6	0
techno	1	0	0
metal	25	0	0
rocky	1	0	0
rambo	1	0	0
army	1	0	0
trattamento	10	56	0
disco	1	4	0
atlantico	1	0	0
minor	1	0	0
lavorazione	2	0	0
britpop	4	1	0
ictus	3	5	0
unitari	1	0	0
affiliazione	1	0	0
war	6	0	0
manipolazione	1	0	0
basso	2	0	0
impatto	1	2	0
vulgata	8	0	0
europeo	1	0	0
commercializzazione	1	6	0
esilio	2	4	0
franco	1	0	0
classiche	1	1	0
talking	1	0	0
fallimento	1	3	0
grado	2	3	0
italiani	1	5	0
restyling	6	0	0
perugia	1	0	0
nouvelle	1	0	0
core	2	38	0
volo	1	13	0
cresima	1	0	0
menopausale	1	5	0
ship	1	0	0
antenna	1	0	0
vaticano	2	0	0
draft	1	0	0
industrial	8	1	0
lancio	3	2	0
collisione	1	0	0
qualifica	2	508	0
vaccinazione	1	4	0
era	1	0	0
storico	1	6	0
dominazione	1	0	0
rai	1	0	0
tatuaggio	1	0	0
ricostruzione	4	8	0
edwards	1	0	0
exposure	1	0	0
kyuss	1	0	0
weimar	1	0	0
tensione	1	7	0
sean	1	0	0
restaurazione	1	1	0
consumismo	1	0	0
dimissione	1	17	0
riscaldamento	3	7	0
umani	1	0	0
golpista	1	1	0
termine	2	2	0
razionalisti	1	1	0
qualificazione	1	0	0
regime	1	2	0
verbali	1	1	0
musica	1	0	0
seconda	2	0	0
tribolazione	2	2	0
swiss	1	0	0
impianto	2	4	0
raphael	1	0	0
installazione	1	34	0
civil	1	2	0
formazione	1	9	0
stagione	1	5	0
ii	1	0	0
recording	1	0	0
pubblicazione	1	3	0
warner	1	0	0
talebani	1	0	0
rigetto	1	0	0
attacco	1	2	0
agb	1	0	0
gonzaga	1	0	0
procedura	1	3	0
critici	1	0	0
classica	1	0	0
standard	1	0	0
resurrezione	1	1	0
carriera	3	3	0
left	1	0	0
pubertà	1	0	0
goodman	1	0	0
incontro	1	5	0
salvatore	1	0	0
arsenal	1	0	0
ottobre	1	0	0
razionalista	2	11	0
desktop	1	0	0
violenza	1	0	0
laureati	1	1	0
idealista	1	0	0
lavoro	1	10	0
vintage	1	0	0
race	1	0	0
riformisti	1	0	0
amerika	1	0	0
trial	1	0	0
norimberga	1	0	0
nba	1	0	0
ricovero	1	80	0
consumo	1	118	0
dead	1	0	0
test	1	66	0
autorizzazione	1	14	0
trading	1	11	0
ammissione	1	0	0
attività	1	1	0
filtro	1	0	0
amt	1	0	0
poliomielite	3	0	0
graffiti	2	2	0
terremoti	1	4	0
svezzamento	1	0	0
amici	1	0	0
foro	1	0	0
moncone	1	0	0
studio	1	1	0
ritiro	1	4	0
presidenza	1	0	0
wien	1	0	0
bizantina	1	0	0
verniciatura	1	1	0
league	1	0	0
surrealismo	1	1	0
bombardamento	1	2	0
vamp	1	0	0
iniezioni	1	1	0
classici	1	2	0
concorso	1	2	0
esercizio	1	11	0
legione	1	0	0
radiation	1	0	0
processamento	1	15	0
capitano	2	0	0
consumer	1	0	0
rinnovamento	1	0	0
estinzione	1	0	0
trasformazione	1	5	0
star	0	1	0
dance	0	2	0
giornalismo	0	3	0
episodio	0	1	0
buste	0	1	0
apertura	0	9	0
ulivismo	0	1	0
ulivista	0	3	0
mercato	0	12	0
acuzie	0	115	0
frantumazione	0	7	0
fioritura	0	2	0
fondista	0	1	0
bolla	0	2	0
caduta	0	4	0
genoma	0	41	0
sovranità	0	6	0
assistenza	0	1	0
pannolino	0	8	0
base	0	154	0
storicismo	0	2	0
servizio	0	9	0
jungle	0	2	0
umanità	0	17	0
riunione	0	3	0
paolini	0	1	0
positivismo	0	4	0
tormentone	0	2	0
incendi	0	1	0
adolescenza	0	11	0
espulsione	0	1	0
segretario	0	1	0
print	0	7	0
evaluation	0	1	0
appelli	0	4	0
contagio	0	5	0
patata	0	2	0
detenzione	0	5	0
castrismo	0	4	0
transazione	0	1	0
nozze	0	2	0
globalizzazione	0	1	0
coito	0	4	0
dieta	0	1	0
devolution	0	2	0
maratona	0	1	0
lola	0	1	0
situazione	0	1	0
allargamento	0	12	0
dottore	0	1	0
malattie	0	1	0
kyoto	0	1	0
experience	0	3	0
scavo	0	1	0
corso	0	18	0
mensa	0	5	0
scansione	0	2	0
welfare	0	3	0
diplomati	0	2	0
stalinisti	0	1	0
cena	0	8	0
concentrazione	0	1	0
contatore	0	70	0
novi	0	1	0
processori	0	4	0
visione	0	10	0
tsunami	0	29	0
secolarizzazione	0	1	0
induzione	0	3	0
pesca	0	1	0
migrazione	0	2	0
degenza	0	5	0
gd	0	1	0
udienza	0	3	0
ricevimento	0	1	0
informazione	0	18	0
vaccino	0	1	0
industrializzazione	0	8	0
longobardo	0	1	0
donazione	0	11	0
rogo	0	2	0
incidente	0	18	0
incendio	0	3	0
abbandono	0	2	0
swing	0	4	0
script	0	4	0
decadente	0	1	0
concepimento	0	1	0
allenamento	0	2	0
trasloco	0	5	0
critica	0	3	0
incidenti	0	16	0
analisi	0	2	0
ventenni	0	1	0
concertazione	0	5	0
pallone	0	2	0
progetto	0	4	0
decollo	0	3	0
preparazione	0	4	0
frattura	0	4	0
asta	0	1	0
brigatismo	0	115	0
terapia	0	11	0
inondazione	0	1	0
evoluzione	0	1	0
eliminazione	0	3	0
solidarietà	0	1	0
critico	0	2	0
carico	0	4	0
imposta	0	1	0
scolarizzazione	0	1	0
install	0	11	0
entry	0	2	0
giudizio	0	3	0
fiume	0	2	0
missione	0	1	0
settembre	0	7	0
audience	0	1	0
apollo	0	3	0
gestione	0	5	0
moderazione	0	5	0
meeting	0	6	0
marcia	0	1	0
rientro	0	1	0
discussione	0	3	0
produttrice	0	4	0
tesi	0	13	0
consegna	0	2	0
attentato	0	13	0
economia	0	11	0
interventi	0	2	0
quarantenni	0	2	0
massacro	0	2	0
ulivisti	0	1	0
improvvisazione	0	3	0
neve	0	1	0
cartagine	0	2	0
market	0	3	0
condanna	0	3	0
titoli	0	1	0
estate	0	5	0
berlusconiani	0	2	0
ospedaliero	0	1	0
ambient	0	1	0
sabato	0	1	0
misurazione	0	1	0
scorie	0	1	0
cattolici	0	1	0
adesione	0	1	0
petizione	0	2	0
maternità	0	14	0
colazione	0	2	0
barker	0	1	0
consumatore	0	1	0
liberal	0	3	0
naviganti	0	4	0
lite	0	1	0
pasticcio	0	2	0
telegiornale	0	3	0
dipendenza	0	2	0
montaggio	0	1	0
cloni	0	1	0
rendering	0	3	0
turing	0	1	0
sterminio	0	1	0
telefoni	0	1	0
esplosione	0	4	0
olocausto	0	34	0
tito	0	1	0
situazionismo	0	5	0
traffico	0	1	0
statalista	0	1	0
illuministi	0	1	0
feste	0	13	0
ninfa	0	1	0
pet	0	1	0
modernizzazione	0	4	0
lettura	0	4	0
realizzazione	0	9	0
islamismo	0	1	0
concerti	0	2	0
carosello	0	2	0
nuke	0	7	0
sanremese	0	2	0
antipasto	0	2	0
abbuffata	0	1	0
menu	0	1	0
figurazione	0	7	0
ruolo	0	2	0
prelievo	0	3	0
conferenza	0	10	0
berlusconismo	0	4	0
lettera	0	1	0
inferno	0	2	0
prospettiva	0	1	0
illusione	0	1	0
stage	0	2	0
surf	0	1	0
contemporaneità	0	4	0
dottori	0	4	0
tg	0	6	0
conversione	0	8	0
legge	0	10	0
miracolo	0	2	0
fondamentalisti	0	1	0
scolastica	0	3	0
epidemia	0	1	0
acquisto	0	7	0
sbornia	0	11	0
chemioterapia	0	3	0
berlusconiano	0	13	0
società	0	1	0
duello	0	2	0
omologazione	0	1	0
emigrazione	0	1	0
cristianità	0	1	0
impianti	0	1	0
avanguardista	0	7	0
ecstasy	0	1	0
serata	0	5	0
commenti	0	1	0
campagna	0	2	0
democristiano	0	1	0
cattura	0	4	0
guarigione	0	1	0
studenti	0	1	0
csi	0	2	0
appello	0	5	0
antichi	0	1	0
italiano	0	1	0
funerale	0	1	0
malesia	0	1	0
assemblaggio	0	1	0
costruzione	0	2	0
rocker	0	8	0
dopoguerra	0	2	0
positivista	0	1	0
nazi	0	1	0
campionati	0	9	0
adolescente	0	3	0
completion	0	3	0
processore	0	13	0
processi	0	1	0
kantismo	0	2	0
dizioni	0	1	0
convegno	0	2	0
regolarizzazione	0	8	0
campo	0	3	0
eventi	0	1	0
imprenditori	0	2	0
box	0	1	0
maremoto	0	6	0
dalemiano	0	1	0
città	0	3	0
discografia	0	1	0
ricorso	0	2	0
parrucchiere	0	1	0
capodanno	0	3	0
orientamento	0	4	0
ufficio	0	3	0
visita	0	6	0
togliattismo	0	1	0
alfabetizzazione	0	2	0
pionieri	0	1	0
blog	0	5	0
allineamento	0	1	0
licenza	0	3	0
garanzia	0	5	0
romance	0	1	0
blues	0	5	0
forum	0	2	0
neoliberismo	0	3	0
latino	0	1	0
esperienza	0	7	0
soviet	0	2	0
shock	0	3	0
risultato	0	1	0
pantani	0	3	0
numero	0	1	0
escursione	0	1	0
impiego	0	1	0
thanksgiving	0	5	0
scambio	0	1	0
western	0	2	0
orgasmo	0	1	0
play	0	3	0
larva	0	1	0
blade	0	3	0
splatter	0	1	0
pulp	0	2	0
surgery	0	1	0
pancreas	0	1	0
morbillo	0	1	0
rave	0	3	0
fumo	0	1	0
fissazione	0	2	0
nomination	0	2	0
registrazione	0	3	0
carolingia	0	4	0
conflitti	0	4	0
temporale	0	2	0
rockettari	0	1	0
afa	0	2	0
tutoraggio	0	2	0
materiale	0	1	0
decisione	0	1	0
trionfo	0	1	0
eternità	0	1	0
caffè	0	2	0
leva	0	1	0
fratture	0	2	0
decesso	0	1	0
stampa	0	5	0
legalizzazione	0	1	0
escort	0	1	0
pizza	0	1	0
mito	0	1	0
stress	0	2	0
sviluppo	0	9	0
biennio	0	1	0
dub	0	1	0
fattore	0	1	0
sonorizzazione	0	5	0
culture	0	2	0
avvio	0	1	0
commento	0	2	0
sciopero	0	2	0
futuro	0	4	0
festività	0	5	0
tudor	0	1	0
cancun	0	2	0
olimpico	0	1	0
film	0	4	0
valorizzazione	0	1	0
distruzione	0	8	0
goal	0	2	0
mail	0	1	0
infezione	0	1	0
radicali	0	2	0
comunità	0	2	0
medievali	0	1	0
festival	0	8	0
disimpegno	0	1	0
editoriale	0	1	0
processor	0	3	0
viaggio	0	6	0
cambio	0	1	0
natali	0	6	0
build	0	3	0
prova	0	1	0
master	0	2	0
euforia	0	1	0
quote	0	1	0
innamoramento	0	2	0
check	0	4	0
party	0	2	0
petrolio	0	3	0
genere	0	3	0
interazione	0	1	0
embrione	0	6	0
asilo	0	2	0
medioevo	0	3	0
coma	0	6	0
benzina	0	7	0
implementazione	0	1	0
verde	0	2	0
programmazione	0	1	0
cantiere	0	2	0
annuncio	0	1	0
antifascismo	0	4	0
naturalismo	0	2	0
decremento	0	5	0
rissa	0	1	0
consenso	0	1	0
legislatura	0	2	0
giudizi	0	2	0
autonomi	0	1	0
massificazione	0	2	0
fasciste	0	2	0
intermedio	0	2	0
bonifica	0	3	0
tecnico	0	1	0
trasmissione	0	1	0
vacanza	0	3	0
prodotto	0	2	0
ovulazione	0	1	0
partiti	0	2	0
trentenni	0	1	0
pianificazione	0	1	0
internet	0	1	0
regolazioni	0	1	0
romanzi	0	1	0
ismi	0	1	0
pena	0	1	0
domanda	0	1	0
costruttivismo	0	1	0
correzione	0	1	0
affido	0	1	0
imperialismo	0	2	0
acuto	0	6	0
riproduzione	0	1	0
image	0	1	0
acciaieria	0	1	0
giochi	0	1	0
aperitivo	0	6	0
aula	0	2	0
accensione	0	1	0
enron	0	1	0
orario	0	3	0
contatto	0	4	0
brevetto	0	1	0
immagine	0	1	0
protocollo	0	2	0
filantropo	0	4	0
effetti	0	1	0
leninista	0	2	0
testo	0	1	0
anestesia	0	1	0
rifiuto	0	1	0
operaisti	0	2	0
analfabetismo	0	2	0
oncologia	0	1	0
cultura	0	1	0
trilogia	0	1	0
atterraggio	0	1	0
forzista	0	1	0
lavaggio	0	2	0
taliban	0	2	0
opa	0	1	0
cronaca	0	1	0
vacanzieri	0	1	0
precipitazione	0	1	0
gita	0	2	0
ideologia	0	1	0
olivier	0	1	0
campus	0	1	0
verifica	0	1	0
dialisi	0	1	0
morte	0	4	0
producer	0	1	0
piazza	0	1	0
islamista	0	1	0
sforzo	0	1	0
macellazione	0	2	0
titolo	0	1	0
rotazione	0	2	0
cut	0	1	0
filter	0	2	0
calcio	0	1	0
jesus	0	1	0
utopia	0	1	0
epigoni	0	1	0
stroke	0	4	0
back	0	1	0
cazzata	0	1	0
audit	0	1	0
milano	0	1	0
uni	0	1	0
mercury	0	2	0
yes	0	1	0
olimpiade	0	2	0
contenuti	0	2	0
schiavista	0	1	0
formation	0	1	0
emissione	0	2	0
cerimonia	0	1	0
games	0	1	0
depurazione	0	1	0
cabaret	0	1	0
polio	0	3	0
investimento	0	3	0
accoglienza	0	4	0
iracheni	0	1	0
allattamento	0	1	0
no	0	1	0
isola	0	1	0
heinz	0	1	0
tasse	0	3	0
counter	0	5	0
riabilitazione	0	1	0
comunismi	0	1	0
frontiera	0	1	0
selezione	0	5	0
introduzione	0	1	0
esistenzialismo	0	1	0
lamentela	0	1	0
governatore	0	1	0
operaismo	0	2	0
somministrazione	0	1	0
maggio	0	2	0
classe	0	1	0
inserimento	0	3	0
lifting	0	2	0
nevrosi	0	1	0
umanesimo	0	1	0
gennaio	0	1	0
nemici	0	1	0
adrenalina	0	1	0
playstation	0	1	0
feudalesimo	0	1	0
viste	0	1	0
dissoluzione	0	1	0
compleanno	0	1	0
cattolicesimo	0	1	0
presidente	0	1	0
ricoveri	0	1	0
shuttle	0	1	0
capolavoro	0	1	0
training	0	3	0
rinascita	0	1	0
lavori	0	1	0
integrazione	0	3	0
comunione	0	1	0
turismo	0	1	0
song	0	1	0
figli	0	1	0
controllo	0	1	0
bizantini	0	1	0
istruzione	0	1	0
epopea	0	1	0
condizioni	0	2	0
